provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
DHL,30159,23058,221,6.211813374113814,2.18,0.8312082574377656,104.33484162895928,3711.9595537252417,0.125
DHL,30161,11554,84,1.7979843382791898,1.04,0.8250822226068893,137.54761904761904,6426.084896300083,0.125
DHL,30163,10484,95,2.603733329707664,1.7,0.8595001907668829,110.3578947368421,4026.52601953561,0.2
DHL,30165,8599,94,4.951012974183712,1.88,0.8620769856960112,91.47872340425532,1736.8162929158436,0.2
DHL,30167,13892,142,5.368928981069905,1.39,0.8507774258566081,97.83098591549296,2587.4806779864766,0.15
DHL,30169,5294,76,2.9960433745102675,2.4,0.8734416320362675,69.65789473684211,1766.9971152755277,0.4
DHL,30173,8547,88,4.775461708125837,3.83,0.8868608868608868,97.125,1789.7745856608133,0.25
DHL,30177,6260,80,3.576189607493106,2.83,0.9033546325878594,78.25,1750.4664704811985,0.3
DHL,30179,6322,96,8.305970462175056,3.55,0.9036697247706422,65.85416666666667,761.1392345771092,0.3
DHL,30419,14775,274,23.77191867081394,5.16,0.9084940778341793,53.92335766423358,621.5316569352082,0.125
DHL,30449,7431,91,2.190643461651216,1.56,0.8620643251244785,81.65934065934066,3392.154008666851,0.2
DHL,30453,8150,148,9.157258958740023,2.98,0.8957055214723927,55.067567567567565,890.0043164359071,0.3
DHL,30455,6748,160,6.967819653017212,3.04,0.9093064611736811,42.175,968.4521609393225,0.4
DHL,30457,6736,139,6.068989648841514,2.4,0.8980106888361045,48.460431654676256,1109.9046776732944,0.4
DHL,30459,6561,125,7.274391190340525,1.24,0.9010821521109587,52.488,901.9311483704893,0.4
DHL,30519,12645,248,13.714884737746763,5.03,0.8771846579675762,50.98790322580645,921.9909785459462,0.2
DHL,30539,8372,164,19.21423828970633,3.99,0.8373148590539895,51.048780487804876,435.71854755674303,0.3
DHL,30559,12320,224,19.484913733542946,1.93,0.8657467532467532,55.0,632.2840413089092,0.2
DHL,30625,7084,117,8.86389555258122,4.99,0.8975155279503105,60.547008547008545,799.1971428337845,0.3
DHL,30627,4809,82,3.3903855235675273,4.61,0.8687876897483885,58.646341463414636,1418.4227624178084,0.4
