feature,spearman_rho,p_value
parcels_per_stop,0.8723952064002054,2.2169650944937474e-98
weekly_parcels,0.7260553218283473,2.3709601781771785e-52
parcels_per_km2,0.6968766906222716,1.1430933408625548e-46
hub_dist_km,-0.5835678419411234,7.247816196102629e-30
area_km2,-0.3477736695106088,2.675429069555238e-10
b2c_share,0.13891076077614128,0.014060194760953756
n_stops,-0.10905352700948967,0.054319449086700125
