penalty,daily_cost_eur,daily_wait_d,fixed_mwf_cost_eur,fixed_mwf_wait_d,naive_cost_eur,naive_wait_d,path2_init_eur,path2_balanced_eur,daily_sav_pct,fixed_mwf_sav_pct,naive_sav_pct,path2_sav_pct
0.0,1906415.5985653787,0.0,1592621.9937895858,0.5,1470596.2284065243,0.966189940861194,1468411.4385135714,1474147.7544344435,0.0,16.45987396514851,22.860669545864944,22.6743761673072
0.25,1906415.5985653787,0.0,1592621.9937895858,0.5,1546677.0300078052,0.42205038277928636,1542457.7311208462,1555417.1958170477,0.0,16.45987396514851,18.869892211765627,18.411431537407967
0.5,1906415.5985653787,0.0,1592621.9937895858,0.5,1635493.8343076096,0.21379747136082589,1639747.6369692304,1651607.4822529044,0.0,16.45987396514851,14.211054738622781,13.365822043431828
0.75,1906415.5985653787,0.0,1592621.9937895858,0.5,1705278.3990873601,0.12423727829545123,1705855.966252953,1714467.2800550887,0.0,16.45987396514851,10.550543104524476,10.0685453190131
1.0,1906415.5985653787,0.0,1592621.9937895858,0.5,1752954.0788446644,0.08123655786287502,1758243.8262340704,1766013.6276212083,0.0,16.45987396514851,8.049741086686325,7.364709512963809
2.0,1906415.5985653787,0.0,1592621.9937895858,0.5,1881077.5530641298,0.008383671250517893,1882243.6286827144,1886240.311406513,0.0,16.45987396514851,1.3290934841446098,1.0582837852380182
5.0,1906415.5985653787,0.0,1592621.9937895858,0.5,1906415.5985653787,0.0,1909747.7491827162,1909747.7491827162,0.0,16.45987396514851,0.0,-0.17478615994566307
10.0,1906415.5985653787,0.0,1592621.9937895858,0.5,1906415.5985653787,0.0,1909747.7491827162,1909747.7491827162,0.0,16.45987396514851,0.0,-0.17478615994566307
