provider,plz,weekly_parcels,n_stops_per_day,parcels_per_stop,hub_dist_km,area_km2,daily_cost_eur,knee_size,knee_wait_d,knee_saving_pct,max_saving_pct,raumtyp_3
DHL,30159,23058,1208.1666666666667,3.180852531383639,2.18,6.211813374113814,21861.036216698867,2,1.0,1.676115228733816,4.067119652188181,urban
DHL,30161,11554,558.8333333333334,3.4458693707127943,1.04,1.7979843382791898,10984.814826700076,2,1.0,6.560518235242919,7.664824409563397,urban
DHL,30163,10484,534.1666666666666,3.271138845553822,1.7,2.603733329707664,10101.751223520625,3,0.6666666666666666,2.784062104019733,8.223492061885246,urban
DHL,30165,8599,612.5,2.339863945578231,1.88,4.951012974183712,8821.961477975849,2,1.0,8.249859998886853,11.129119469475054,urban
DHL,30167,13892,788.3333333333334,2.9369978858350954,1.39,5.368928981069905,13584.594723104387,3,0.5,5.972839029622028,9.091257959152797,urban
DHL,30169,5294,353.8333333333333,2.493641073951955,2.4,2.9960433745102675,5465.340989298538,5,0.16666666666666666,4.376987022741144,6.979470989005782,urban
DHL,30173,8547,547.1666666666666,2.603411513859275,3.83,4.775461708125837,8880.676376040345,4,0.5,1.495059266966028,8.25810495065167,urban
DHL,30177,6260,417.6666666666667,2.498004788507582,2.83,3.576189607493106,6742.357655429061,4,0.3333333333333333,7.624134824667208,12.183660021503945,urban
DHL,30179,6322,529.1666666666666,1.9911811023622048,3.55,8.305970462175056,7051.701976204091,4,0.3333333333333333,8.449129338223242,13.70528022720028,suburban
DHL,30419,14775,1290.0,1.9089147286821706,5.16,23.77191867081394,15410.704382941049,2,1.0,3.5180308044372834,4.748168227939286,suburban
DHL,30449,7431,468.0,2.6463675213675213,1.56,2.190643461651216,7347.453575239728,3,0.6666666666666666,4.329917143067586,10.539158840695059,urban
DHL,30453,8150,692.3333333333334,1.9619643716899373,2.98,9.157258958740023,8658.48386852792,3,0.6666666666666666,4.754559375866792,11.291549674476522,suburban
DHL,30455,6748,643.6666666666666,1.7472812014500259,3.04,6.967819653017212,7527.456030665768,2,1.0,11.42999495700563,12.248924002476969,suburban
DHL,30457,6736,573.0,1.9592786503781268,2.4,6.068989648841514,7354.002647928393,3,0.5,11.994434120717461,13.358142226291358,suburban
DHL,30459,6561,605.5,1.805945499587118,1.24,7.274391190340525,6771.123707403422,3,0.6666666666666666,3.4164961870348036,11.44407025501414,urban
DHL,30519,12645,1030.3333333333333,2.0454545454545454,5.03,13.714884737746763,13308.820557103656,3,0.5,5.143153570085976,6.189918027002955,urban
DHL,30539,8372,681.6666666666666,2.0469437652811737,3.99,19.21423828970633,9286.525269235735,3,0.5,11.75068718884979,12.57147630699281,rural
DHL,30559,12320,1048.0,1.9592875318066159,1.93,19.484913733542946,12284.837795811716,4,0.3333333333333333,5.080143962961454,7.940932589057311,suburban
DHL,30625,7084,618.3333333333334,1.909433962264151,4.99,8.86389555258122,8086.04864506693,3,0.5,10.366800154650104,11.841486710370246,urban
DHL,30627,4809,395.0,2.029113924050633,4.61,3.3903855235675273,5514.281577292458,4,0.3333333333333333,9.757806984927887,14.779759331213215,suburban
DHL,30629,5907,560.8333333333334,1.7554234769687964,4.28,14.669809711755617,6938.7092279943945,3,0.5,14.96649773313362,16.765186947313556,suburban
DHL,30655,7945,623.6666666666666,2.1231961517904865,5.25,4.462508901721823,8750.574451506249,2,1.0,8.540011635751462,11.116847191009086,suburban
DHL,30657,9056,648.5,2.3274222564893345,6.56,12.670949194485747,10074.373015474968,5,0.16666666666666666,3.4821442561201383,10.14747134284918,rural
DHL,30659,6829,616.1666666666666,1.8471733838247228,7.01,11.3882150903338,7845.484492740136,4,0.5,1.9785417177889373,10.798811896781494,suburban
DHL,30823,9437,919.6666666666666,1.7102210945994927,3.26,12.528872220645557,10192.119285049352,3,0.5,10.381689471474537,12.456914708834663,suburban
DHL,30826,8281,937.1666666666666,1.4727014049439802,1.44,56.38950461206911,9274.347761713358,3,0.5,13.10313632453963,14.982932913049218,rural
DHL,30827,8048,754.1666666666666,1.778563535911602,3.25,10.610683695060029,8484.780198320623,3,0.5,7.422794681278111,9.60501751523253,suburban
DHL,30851,6654,564.6666666666666,1.963990554899646,5.02,4.12190647126244,7071.466064386362,5,0.16666666666666666,3.6709027543610526,5.938800956873373,suburban
