window,penalty,share_willing,total_cost_eur,avg_wait_days,cost_savings_pct
1,0.0,0.0,1977116.5677979258,0.0,0.0
1,0.0,0.1,1977116.5677979258,0.0,0.0
1,0.0,0.2,1977116.5677979258,0.0,0.0
1,0.0,0.30000000000000004,1977116.5677979258,0.0,0.0
1,0.0,0.4,1977116.5677979258,0.0,0.0
1,0.0,0.5,1977116.5677979258,0.0,0.0
1,0.0,0.6000000000000001,1977116.5677979258,0.0,0.0
1,0.0,0.7000000000000001,1977116.5677979258,0.0,0.0
1,0.0,0.8,1977116.5677979258,0.0,0.0
1,0.0,0.9,1977116.5677979258,0.0,0.0
1,0.0,1.0,1977116.5677979258,0.0,0.0
1,0.1,0.0,1977116.5677979258,0.0,0.0
1,0.1,0.1,1977116.5677979258,0.0,0.0
1,0.1,0.2,1977116.5677979258,0.0,0.0
1,0.1,0.30000000000000004,1977116.5677979258,0.0,0.0
1,0.1,0.4,1977116.5677979258,0.0,0.0
1,0.1,0.5,1977116.5677979258,0.0,0.0
1,0.1,0.6000000000000001,1977116.5677979258,0.0,0.0
1,0.1,0.7000000000000001,1977116.5677979258,0.0,0.0
1,0.1,0.8,1977116.5677979258,0.0,0.0
1,0.1,0.9,1977116.5677979258,0.0,0.0
1,0.1,1.0,1977116.5677979258,0.0,0.0
1,0.25,0.0,1977116.5677979258,0.0,0.0
1,0.25,0.1,1977116.5677979258,0.0,0.0
1,0.25,0.2,1977116.5677979258,0.0,0.0
1,0.25,0.30000000000000004,1977116.5677979258,0.0,0.0
1,0.25,0.4,1977116.5677979258,0.0,0.0
1,0.25,0.5,1977116.5677979258,0.0,0.0
1,0.25,0.6000000000000001,1977116.5677979258,0.0,0.0
1,0.25,0.7000000000000001,1977116.5677979258,0.0,0.0
1,0.25,0.8,1977116.5677979258,0.0,0.0
1,0.25,0.9,1977116.5677979258,0.0,0.0
1,0.25,1.0,1977116.5677979258,0.0,0.0
1,0.5,0.0,1977116.5677979258,0.0,0.0
1,0.5,0.1,1977116.5677979258,0.0,0.0
1,0.5,0.2,1977116.5677979258,0.0,0.0
1,0.5,0.30000000000000004,1977116.5677979258,0.0,0.0
1,0.5,0.4,1977116.5677979258,0.0,0.0
1,0.5,0.5,1977116.5677979258,0.0,0.0
1,0.5,0.6000000000000001,1977116.5677979258,0.0,0.0
1,0.5,0.7000000000000001,1977116.5677979258,0.0,0.0
1,0.5,0.8,1977116.5677979258,0.0,0.0
1,0.5,0.9,1977116.5677979258,0.0,0.0
1,0.5,1.0,1977116.5677979258,0.0,0.0
1,0.75,0.0,1977116.5677979258,0.0,0.0
1,0.75,0.1,1977116.5677979258,0.0,0.0
1,0.75,0.2,1977116.5677979258,0.0,0.0
1,0.75,0.30000000000000004,1977116.5677979258,0.0,0.0
1,0.75,0.4,1977116.5677979258,0.0,0.0
1,0.75,0.5,1977116.5677979258,0.0,0.0
1,0.75,0.6000000000000001,1977116.5677979258,0.0,0.0
1,0.75,0.7000000000000001,1977116.5677979258,0.0,0.0
1,0.75,0.8,1977116.5677979258,0.0,0.0
1,0.75,0.9,1977116.5677979258,0.0,0.0
1,0.75,1.0,1977116.5677979258,0.0,0.0
1,1.0,0.0,1977116.5677979258,0.0,0.0
1,1.0,0.1,1977116.5677979258,0.0,0.0
1,1.0,0.2,1977116.5677979258,0.0,0.0
1,1.0,0.30000000000000004,1977116.5677979258,0.0,0.0
1,1.0,0.4,1977116.5677979258,0.0,0.0
1,1.0,0.5,1977116.5677979258,0.0,0.0
1,1.0,0.6000000000000001,1977116.5677979258,0.0,0.0
1,1.0,0.7000000000000001,1977116.5677979258,0.0,0.0
1,1.0,0.8,1977116.5677979258,0.0,0.0
1,1.0,0.9,1977116.5677979258,0.0,0.0
1,1.0,1.0,1977116.5677979258,0.0,0.0
1,2.0,0.0,1977116.5677979258,0.0,0.0
1,2.0,0.1,1977116.5677979258,0.0,0.0
1,2.0,0.2,1977116.5677979258,0.0,0.0
1,2.0,0.30000000000000004,1977116.5677979258,0.0,0.0
1,2.0,0.4,1977116.5677979258,0.0,0.0
1,2.0,0.5,1977116.5677979258,0.0,0.0
1,2.0,0.6000000000000001,1977116.5677979258,0.0,0.0
1,2.0,0.7000000000000001,1977116.5677979258,0.0,0.0
1,2.0,0.8,1977116.5677979258,0.0,0.0
