provider,plz,weekly_parcels,dd_cost_balanced,schedule_size_balanced,avg_wait_d_balanced,daily_cost,saving_pct,area_km2,hub_dist_km,n_stops,raumtyp_3,raumtyp_8_name,hubdist_bin
DHL,30982,6551,8026.683955967339,6,0.0,8026.683955967339,0.0,66.6831619829418,2.77,239,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,30989,6841,8197.588934134921,6,0.0,8197.588934134921,0.0,43.13135688268341,5.72,271,rural,Umland dörflich ohne gewerblichen Einfluss,5-10km
DHL,31275,18743,20490.51279819747,6,0.0,20490.51279819747,0.0,129.47251256919432,2.93,571,suburban,Umland Verstädtert,0-5km
DHL,31303,12605,14494.326252546623,6,0.0,14494.326252546623,0.0,112.90680951768702,1.84,468,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,31311,8577,10485.698502104207,6,0.0,10485.698502104207,0.0,139.34872865781722,3.81,380,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
DHL,31319,10967,12204.762656945872,6,0.0,12204.762656945872,0.0,101.18549289373648,0.58,411,rural,Umland dörflich ohne gewerblichen Einfluss,0-5km
DHL,31515,19286,21088.897809861297,6,0.0,21088.897809861297,0.0,125.18180774883541,5.28,537,rural,Umland dörflich mit geringem gewerblichem Einfluss,5-10km
DHL,31535,18533,22512.71676182417,6,0.0,22512.71676182417,0.0,357.6158854957556,5.5,880,rural,Umland dörflich mit geringem gewerblichem Einfluss,5-10km
DHL,31832,11902,14457.781202836444,6,0.0,14457.781202836444,0.0,159.38246951696127,4.65,515,rural,Umland dörflich mit geringem gewerblichem Einfluss,0-5km
Amazon,30159,9019,10308.589381436708,3,0.6666666666666666,11555.196270293998,10.788279659619946,6.211813374113814,13.81,221,urban,Metropoles Zentrum,10-20km
Amazon,30161,4512,5889.35865325249,5,0.1666666666666666,6224.7449789257325,5.387952868892052,1.7979843382791898,12.74,83,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
Amazon,30163,4469,5260.17052858387,3,0.6666666666666666,5889.006483104628,10.678133167706113,2.603733329707664,12.41,93,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
Amazon,30165,3574,4440.194523418397,5,0.1666666666666666,4750.233821598029,6.526821832853097,4.951012974183712,10.52,92,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30167,5730,7175.254343343608,6,0.0,7175.254343343608,0.0,5.368928981069905,10.65,139,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30173,3759,4566.815905117359,4,0.3333333333333333,5164.654397653723,11.57557595350348,4.775461708125837,15.11,87,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
Amazon,30177,2906,3709.8674347488113,4,0.3333333333333333,4343.242376782357,14.582997840953423,3.576189607493106,13.99,79,urban,Zentrumsnah hochverdichtete Wohnnutzung,10-20km
Amazon,30179,2781,3708.3663933054304,4,0.3333333333333333,4390.652005410074,15.539505550973857,8.305970462175056,12.08,95,suburban,Städtisch mit gewerblicher Prägung,10-20km
Amazon,30419,6859,8154.771745164913,4,0.5,8519.368501277868,4.279621852937418,23.77191867081394,6.74,265,suburban,Städtisch mit gewerblicher Prägung,5-10km
Amazon,30449,5275,6611.552461067373,5,0.1666666666666666,7005.60345798299,5.624797339429629,5.186686836161483,12.61,159,urban,Zentrumsnah verdichtete Mischnutzung,10-20km
Amazon,30453,3593,4284.134782121249,2,1.0,4970.930164967193,13.81623479014368,9.157258958740023,9.82,139,suburban,Städtisch mit Verdichtungsansätzen,5-10km
