raumtyp_3,n_cells,mean_saving,median_saving,mean_hub_dist,mean_area
rural,118,25.18514717244724,26.915055529258577,17.771694915254237,104.07662647343007
suburban,124,19.04904250946414,21.256753296925716,11.70016129032258,26.430798845379012
urban,70,12.439669931448659,10.86777470974149,10.028,6.7438023864007395
