provider,plz,penalty,share_willing,total_eur,baseline_eur,saving_pct,area_km2,hub_dist_km,n_stops,weekly_parcels,raumtyp_3
DHL,30159,0.0,0.0,21973.50194568585,21973.50194568585,0.0,6.211813374113814,2.18,221,23058,urban
DHL,30161,0.0,0.0,10909.00812046849,10909.00812046849,0.0,1.7979843382791898,1.04,84,11554,urban
DHL,30163,0.0,0.0,9914.04927442146,9914.04927442146,0.0,2.603733329707664,1.7,95,10484,urban
DHL,30165,0.0,0.0,8565.397376626115,8565.397376626115,0.0,4.951012974183712,1.88,94,8599,urban
DHL,30167,0.0,0.0,13540.33589751315,13540.33589751315,0.0,5.368928981069905,1.39,142,13892,urban
DHL,30169,0.0,0.0,5441.748523674446,5441.748523674446,0.0,2.9960433745102675,2.4,76,5294,urban
DHL,30173,0.0,0.0,8900.020227394843,8900.020227394843,0.0,4.775461708125837,3.83,88,8547,urban
DHL,30177,0.0,0.0,6717.193405547422,6717.193405547422,0.0,3.576189607493106,2.83,80,6260,urban
DHL,30179,0.0,0.0,7015.019470078845,7015.019470078845,0.0,8.305970462175056,3.55,96,6322,suburban
DHL,30419,0.0,0.0,15260.397562746597,15260.397562746597,0.0,23.77191867081394,5.16,274,14775,suburban
DHL,30449,0.0,0.0,7432.014762814106,7432.014762814106,0.0,2.190643461651216,1.56,91,7431,urban
DHL,30453,0.0,0.0,8728.871611104647,8728.871611104647,0.0,9.157258958740025,2.98,148,8150,suburban
DHL,30455,0.0,0.0,7560.480077937329,7560.480077937329,0.0,6.967819653017212,3.04,160,6748,suburban
DHL,30457,0.0,0.0,7333.849598031452,7333.849598031452,0.0,6.068989648841514,2.4,139,6736,suburban
DHL,30459,0.0,0.0,6748.368740605874,6748.368740605874,0.0,7.274391190340525,1.24,125,6561,urban
DHL,30519,0.0,0.0,13335.327593044716,13335.327593044716,0.0,13.714884737746765,5.03,248,12645,urban
DHL,30539,0.0,0.0,9296.282509988963,9296.282509988963,0.0,19.21423828970633,3.99,164,8372,rural
DHL,30559,0.0,0.0,12462.482929522981,12462.482929522981,0.0,19.484913733542943,1.93,224,12320,suburban
