raumtyp_3,mean_actual_saving_pct,mean_predicted_saving_pct,mean_bias_pp,n_cluster,total_saving
rural,21.37498047823569,26.277293732185232,4.9023132539495435,17,153152.12
suburban,15.123538446315555,19.939694453653253,4.816156007337694,14,94907.42
urban,12.368956160435857,-6.226264249925451,-18.595220410361307,5,22930.870000000003
