raumtyp_8,raumtyp_8_name,mean_actual_saving_pct,mean_predicted_saving_pct,mean_bias_pp,n_cluster,total_saving
2,Zentrumsnah hochverdichtete Wohnnutzung,9.566991395758732,-7.620823892480244,-17.187815288238973,2,8152.18
3,Zentrumsnah verdichtete Mischnutzung,14.236932670220606,-5.296557821555588,-19.533490491776195,3,14778.690000000002
4,Städtisch mit Verdichtungsansätzen,15.02550853003417,21.96289293995249,6.93738440991832,8,48293.229999999996
5,Städtisch mit gewerblicher Prägung,15.376927954018957,14.620489017992496,-0.7564389360264612,2,16441.43
6,Umland Verstädtert,15.192903525026631,18.552900198885148,3.3599966738585167,4,30172.760000000002
7,Umland dörflich mit geringem gewerblichem Einfluss,23.37750298515585,27.507079808549104,4.129576823393253,9,100842.30000000002
8,Umland dörflich ohne gewerblichen Einfluss,19.1221426579505,24.89378439627587,5.7716417383253695,8,52309.81999999999
