operating_point,P,theta,init_cost_eur,init_saving_pct,balanced_cost_eur,balanced_saving_pct,avg_wait_d,mean_freq,n_batched,n_daily,peak_fleet_init,peak_fleet_balanced,peak_reduction_pct
Daily baseline,10.0,0.0,1909747.7491827165,4.2795365112364976e-08,1909747.7491827165,4.2795365112364976e-08,0.0,6.0,0,312,894.0,894.0,0.0
Cost-optimal end,0.0,1.0,1468411.4385135714,23.109665215546325,1474147.7544344438,22.809294869731158,0.9692323830484589,2.0256410256410255,312,0,1005.0,748.0,25.572139303482587
Sweet-spot (System),0.5,1.0,1639747.6369692306,14.13799875039881,1651607.4822529044,13.516982425930102,0.2125126999332346,3.951923076923077,236,76,862.0,738.0,14.385150812064966
Service-priority,1.0,1.0,1758243.8262340706,7.93319032662452,1766013.6276212083,7.526340710640538,0.0809423152539063,4.92948717948718,143,169,860.0,800.0,6.976744186046512
