penalty,share_willing,stage1_init_cost_eur,stage2_balanced_cost_eur,stage3_total_stage3_eur,saving_stage1_pct,saving_stage2_pct,saving_stage3_pct
0.0,1.0,1468411.4385135714,1474147.7544344435,1474459.580850018,23.109665215546325,22.80929486973117,22.792966722960248
0.25,1.0,1542457.7311208462,1555417.1958170477,1556616.5834544636,19.2323839040603,18.553788278213826,18.4909848196201
0.5,1.0,1639747.6369692304,1651607.4822529044,1651607.4822529044,14.137998750398824,13.516982425930102,13.516982425930102
0.75,1.0,1705855.966252953,1714467.2800550887,1714467.2800550887,10.676372507680503,10.225458830618406,10.225458830618406
1.0,1.0,1758243.8262340704,1766013.6276212083,1766013.6276212083,7.933190326624532,7.526340710640538,7.526340710640538
2.0,1.0,1882243.6286827144,1886240.311406513,1886240.3114065127,1.4401965556595409,1.2309185123264066,1.2309185123264188
5.0,1.0,1909747.7491827162,1909747.7491827162,1909747.7491827162,4.279537730406116e-08,4.279537730406116e-08,4.279537730406116e-08
10.0,1.0,1909747.7491827162,1909747.7491827162,1909747.7491827162,4.279537730406116e-08,4.279537730406116e-08,4.279537730406116e-08
