penalty,share_willing,n,MAPE_pct,bias_pct,R2
0.0,1.0,312,2.200622471575376,1.530716030305427,0.994425305863436
0.25,1.0,312,2.488254032034256,2.174666191771985,0.9989908860103888
0.5,1.0,312,3.3172295677031456,3.174854699004591,0.9978914143898128
0.75,1.0,312,4.156242023586055,4.059524789089835,0.9966869007132992
ALL,ALL,1248,3.040587023724708,2.734940427542959,0.9971196587104432
