provider,plz,weekly_parcels,n_stops_per_day,parcels_per_stop,hub_dist_km,area_km2,daily_cost_eur,knee_size,knee_wait_d,knee_saving_pct,max_saving_pct,raumtyp_3
DHL,30159,23058.0,1208.1666666666667,3.180852531383639,2.18,6.211813374113814,21973.50194568585,2,1.0,2.2525208812195645,4.089049822438795,urban
DHL,30161,11554.0,558.8333333333334,3.4458693707127943,1.04,1.7979843382791898,10909.00812046849,2,1.0,6.311183888509525,7.578217447747341,urban
DHL,30163,10484.0,534.1666666666666,3.271138845553822,1.7,2.603733329707664,9914.04927442146,3,0.6666666666666666,2.3132558419116487,7.821922005682802,urban
DHL,30165,8599.0,612.5,2.339863945578231,1.88,4.951012974183712,8565.397376626115,2,1.0,6.565207812171949,9.339617341388857,urban
DHL,30167,13892.0,788.3333333333334,2.9369978858350954,1.39,5.368928981069905,13540.33589751315,3,0.5,6.037684806698332,8.640246883893235,urban
DHL,30169,5294.0,353.8333333333333,2.493641073951955,2.4,2.9960433745102675,5441.748523674446,5,0.16666666666666666,4.266726705635705,6.40373911724711,urban
DHL,30173,8547.0,547.1666666666666,2.603411513859275,3.83,4.775461708125837,8900.020227394843,4,0.5,0.5843642320089614,7.111643468619363,urban
DHL,30177,6260.0,417.6666666666667,2.498004788507582,2.83,3.576189607493106,6717.193405547422,4,0.3333333333333333,7.371139152240112,11.318786746855698,urban
DHL,30179,6322.0,529.1666666666666,1.9911811023622048,3.55,8.305970462175056,7015.019470078845,4,0.3333333333333333,8.319137989446784,13.370745094630317,suburban
DHL,30419,14775.0,1290.0,1.9089147286821706,5.16,23.77191867081394,15260.397562746597,3,0.5,4.441043427293676,7.269718408512383,suburban
DHL,30449,7431.0,468.0,2.6463675213675213,1.56,2.190643461651216,7432.014762814106,3,0.6666666666666666,4.033423710411655,10.671181097911406,urban
DHL,30453,8150.0,692.3333333333334,1.9619643716899373,2.98,9.157258958740023,8728.871611104647,3,0.6666666666666666,4.54515831556811,11.038396015542137,suburban
DHL,30455,6748.0,643.6666666666666,1.7472812014500259,3.04,6.967819653017212,7560.480077937329,2,1.0,11.263800586862692,12.48582373807371,suburban
DHL,30457,6736.0,573.0,1.9592786503781268,2.4,6.068989648841514,7333.849598031452,3,0.5,11.831357599115439,13.162439700780077,suburban
DHL,30459,6561.0,605.5,1.805945499587118,1.24,7.274391190340525,6748.368740605874,3,0.6666666666666666,3.5417683574954197,11.491793245449411,urban
DHL,30519,12645.0,1030.3333333333333,2.0454545454545454,5.03,13.714884737746763,13335.327593044716,3,0.5,5.564077476073555,6.0368272640222465,urban
DHL,30539,8372.0,681.6666666666666,2.0469437652811737,3.99,19.21423828970633,9296.282509988963,3,0.5,10.721914990160412,12.075532591582776,rural
DHL,30559,12320.0,1048.0,1.9592875318066159,1.93,19.484913733542946,12462.482929522981,3,0.5,6.554607002590667,8.710015762772128,suburban
DHL,30625,7084.0,618.3333333333334,1.909433962264151,4.99,8.86389555258122,8084.182917612831,3,0.5,10.278660935481833,11.586159588156073,urban
DHL,30627,4809.0,395.0,2.029113924050633,4.61,3.3903855235675273,5566.459185356654,4,0.3333333333333333,9.51040921477825,14.818655367831825,suburban
DHL,30629,5907.0,560.8333333333334,1.7554234769687964,4.28,14.669809711755617,6830.019894903581,3,0.5,14.433484363968493,15.923612840595435,suburban
DHL,30655,7945.0,623.6666666666666,2.1231961517904865,5.25,4.462508901721823,8770.048460462032,2,1.0,8.775055733248943,11.404729628856568,suburban
DHL,30657,9056.0,648.5,2.3274222564893345,6.56,12.670949194485747,9997.913539537092,5,0.16666666666666666,3.5506281366917816,10.12774649184736,rural
DHL,30659,6829.0,616.1666666666666,1.8471733838247228,7.01,11.3882150903338,7841.281218861646,4,0.5,1.9449247958534792,11.441863344576896,suburban
DHL,30823,9437.0,919.6666666666666,1.7102210945994927,3.26,12.528872220645557,10202.29191336214,3,0.5,10.208528956156504,12.251421184012509,suburban
DHL,30826,8281.0,937.1666666666666,1.4727014049439802,1.44,56.38950461206911,9289.171862330428,3,0.5,13.50142026670714,15.41346990540964,rural
DHL,30827,8048.0,754.1666666666666,1.778563535911602,3.25,10.610683695060029,8499.259441991915,4,0.3333333333333333,5.672737864269704,9.1603303742111,suburban
DHL,30851,6654.0,564.6666666666666,1.963990554899646,5.02,4.12190647126244,7091.396611882496,5,0.16666666666666666,3.9621434263832795,6.248810345100521,suburban
DHL,30853,7164.0,603.3333333333334,1.9790055248618785,6.98,8.711379660258004,8087.121413003322,4,0.3333333333333333,6.303525046280177,9.648354248171104,suburban
DHL,30855,32854.0,1862.1666666666667,2.940481517945046,5.9,59.06346106841505,33181.974645551454,2,1.0,-3.993481845140536,1.693110595475936,suburban
DHL,30880,16161.0,1480.5,1.8193177980412023,5.11,33.960996603727956,17626.17972557684,3,0.5,7.874690128999295,8.861845811672879,suburban
DHL,30890,13989.0,1571.1666666666667,1.4839291397051024,4.73,102.53407734275534,16098.044263724361,3,0.5,10.572822498187945,12.707715164321227,rural
DHL,30900,14609.0,1726.3333333333333,1.410407414558795,4.94,173.55971997363926,17593.529073393336,3,0.5,13.350301121066694,17.817415736135615,rural
DHL,30916,14499.0,1431.3333333333333,1.6882859804378203,11.0,59.876286869182046,17062.590954336305,3,0.5,7.466601678945133,9.854621168855356,suburban
DHL,30926,13519.0,1326.1666666666667,1.699007163503833,0.37,53.8021301528445,14775.4174568136,4,0.3333333333333333,8.50515981445744,13.927161900623032,rural
DHL,30938,12030.0,1311.0,1.5293668954996187,10.53,153.22446344831192,14888.20103197316,3,0.5,12.931258366727992,14.930069074639688,rural
DHL,30952,9709.0,985.5,1.6419753086419753,5.68,37.755537878390655,11029.332668750209,3,0.5,11.067657880043459,12.521992684108863,suburban
DHL,30966,9182.0,933.3333333333334,1.6396428571428572,5.52,31.832385676522556,10564.896592403224,4,0.3333333333333333,7.5260345153112675,12.047593379916336,rural
DHL,30974,6515.0,735.8333333333334,1.4756511891279729,1.4,53.82702268136371,7602.589230059956,3,0.5,15.54345412761921,18.892090355565923,rural
DHL,30982,6551.0,765.0,1.4272331154684097,2.77,66.6831619829418,8026.683955967339,3,0.5,14.31957310728126,19.645063420939486,rural
DHL,30989,6841.0,741.0,1.5386864597390912,5.72,43.13135688268341,8197.588934134921,3,0.6666666666666666,12.110514923173083,14.70677024710691,rural
DHL,31275,18743.0,2105.5,1.4836539222670784,2.93,129.47251256919432,20490.51279819747,3,0.5,8.710379102185085,11.51563226585577,suburban
DHL,31303,12605.0,1423.3333333333333,1.4759953161592505,1.84,112.90680951768702,14494.326252546625,3,0.5,13.249505017583688,16.979208921976436,rural
DHL,31311,8577.0,1062.1666666666667,1.3458339871332183,3.81,139.34872865781722,10485.698502104207,3,0.5,13.10125210562599,17.000232384952007,rural
DHL,31319,10967.0,1263.1666666666667,1.4470246734397678,0.58,101.18549289373648,12204.762656945873,3,0.5,11.242639434882557,14.99429249976561,rural
DHL,31515,19286.0,2052.0,1.5664392462638077,5.28,125.18180774883541,21088.897809861297,3,0.5,9.469381274612918,10.219241020872687,rural
DHL,31535,18533.0,2196.0,1.40657255616272,5.5,357.6158854957556,22512.716761824166,3,0.5,9.961621136540204,13.786718685021427,rural
DHL,31832,11902.0,1381.0,1.4363987448708666,4.65,159.38246951696127,14457.781202836444,3,0.5,13.489842218779577,16.68807980161695,rural
Amazon,30159,9019.0,795.8333333333334,1.8887958115183245,13.81,6.211813374113814,11555.196270293998,3,0.5,10.9726614188133,12.228403797417068,urban
Amazon,30161,4512.0,390.1666666666667,1.9273814609141393,12.74,1.7979843382791898,6224.7449789257325,3,0.5,14.751879370933874,20.06442058234079,urban
Amazon,30163,4469.0,383.8333333333333,1.940512375162831,12.41,2.603733329707664,5889.0064831046275,2,1.0,12.375326405542133,16.902177554969015,urban
Amazon,30165,3574.0,383.3333333333333,1.5539130434782609,10.52,4.951012974183712,4750.233821598029,3,0.6666666666666666,4.227188789292222,15.686235131627638,urban
Amazon,30167,5730.0,520.0,1.8365384615384615,10.65,5.368928981069905,7175.254343343608,3,0.6666666666666666,5.108528462420946,14.144676738244929,urban
Amazon,30173,3759.0,358.6666666666667,1.7467472118959109,15.11,4.775461708125837,5164.654397653723,4,0.3333333333333333,11.57557595350348,15.994702402141254,urban
Amazon,30177,2906.0,284.1666666666667,1.704398826979472,13.99,3.576189607493106,4343.242376782357,4,0.3333333333333333,14.632660365360572,22.463354405378777,urban
Amazon,30179,2781.0,317.1666666666667,1.4613767735155019,12.08,8.305970462175056,4390.652005410074,4,0.3333333333333333,15.539505550973857,24.612746590705466,suburban
Amazon,30419,6859.0,794.8333333333334,1.4382470119521913,6.74,23.77191867081394,8519.368501277868,3,0.6666666666666666,6.19060962619606,16.182234405823493,suburban
Amazon,30449,5275.0,527.5,1.6666666666666667,12.61,5.186686836161483,7005.60345798299,4,0.3333333333333333,11.08977053675249,14.154876925269038,urban
Amazon,30453,3593.0,411.3333333333333,1.4558346839546192,9.82,9.157258958740023,4970.930164967193,3,0.6666666666666666,6.961142415190836,18.12564421262906,suburban
Amazon,30455,3165.0,387.6666666666667,1.3607050730868444,9.84,6.967819653017212,4820.378887430032,4,0.3333333333333333,14.683855332014721,19.40463838691579,suburban
Amazon,30457,3134.0,365.6666666666667,1.4284412032816773,13.37,6.068989648841514,4934.7989617734975,4,0.3333333333333333,14.444185265009075,24.49872563820848,suburban
Amazon,30459,3087.0,375.5,1.3701731025299602,13.92,7.274391190340525,4858.408897775894,2,1.0,19.08213973208152,21.31764944741637,urban
Amazon,30519,5508.0,632.1666666666666,1.452148694964408,17.38,13.714884737746763,8140.269152347262,2,1.0,16.950691980337606,19.963510809098533,urban
Amazon,30539,3516.0,409.0,1.4327628361858191,21.37,19.21423828970633,5821.859629336905,2,1.0,16.185287651113747,20.250916005586063,rural
Amazon,30559,5369.0,643.3333333333334,1.3909326424870467,20.15,19.484913733542946,8252.52270516162,3,0.5,11.94978101797155,18.442987422157127,suburban
Amazon,30625,3180.0,369.1666666666667,1.435665914221219,16.66,8.86389555258122,4932.584335545381,4,0.3333333333333333,14.189114576783375,19.484001443628134,urban
Amazon,30627,2090.0,238.16666666666666,1.4625612316305108,17.89,3.3903855235675273,3472.360903435115,4,0.5,19.420977588965886,22.444027711525916,suburban
Amazon,30629,2757.0,346.5,1.326118326118326,20.32,14.669809711755617,4629.145185289602,4,0.3333333333333333,16.2454916528169,22.720837538557433,suburban
Amazon,30655,3642.0,399.8333333333333,1.5181325552313465,16.14,4.462508901721823,5061.237427944449,3,0.6666666666666666,5.55482017087972,13.291155912910838,suburban
Amazon,30657,3559.0,392.5,1.5112526539278133,15.05,12.670949194485747,5227.080664344542,3,0.6666666666666666,7.220984297687517,19.66554703612747,rural
Amazon,30659,3002.0,360.8333333333333,1.3866050808314088,18.11,11.3882150903338,4975.003626465991,3,0.5,22.005400764384714,26.12085001477395,suburban
Amazon,30823,4370.0,545.0,1.3363914373088686,1.29,12.528872220645557,5705.037154540299,3,0.5,14.489690161702885,19.871489560196764,suburban
Amazon,30826,3852.0,537.1666666666666,1.1951597890164443,3.98,56.38950461206911,5673.254342811335,4,0.3333333333333333,14.761764146500735,25.11724868493607,rural
Amazon,30827,3498.0,430.3333333333333,1.3547637490317583,3.78,10.610683695060029,4536.061456785562,3,0.6666666666666666,14.360597454136787,17.486827208234764,suburban
Amazon,30851,3032.0,352.8333333333333,1.4322153991497402,11.33,4.12190647126244,4490.007090916008,3,0.5,19.992551997721716,21.732906737142496,suburban
Amazon,30853,2911.0,348.0,1.3941570881226053,12.37,8.711379660258004,4319.068900643669,4,0.5,5.7607951129523025,21.595868569627672,suburban
Amazon,30855,13592.0,1282.5,1.7663417803768682,9.96,59.06346106841505,16244.345238115564,3,0.5,9.24789695614593,11.244566370674471,suburban
Amazon,30880,6971.0,843.3333333333334,1.3776679841897232,23.78,33.960996603727956,11278.054808972109,3,0.5,14.556030690736897,21.26335495774592,suburban
Amazon,30890,6502.0,890.1666666666666,1.217375023403857,12.55,102.53407734275534,10080.548522471709,3,0.5,17.331030682472203,20.60932635905001,rural
Amazon,30900,6667.0,957.6666666666666,1.1602854159415246,17.55,173.55971997363926,12085.38072969665,3,0.5,23.212975215495135,27.383057968423238,rural
Amazon,30916,6164.0,807.3333333333334,1.2725020644095788,19.41,59.876286869182046,9904.82527723206,3,0.5,18.400104004760983,23.95424753650118,suburban
Amazon,30926,6338.0,798.6666666666666,1.3226210350584306,4.34,53.8021301528445,8752.96361616949,4,0.3333333333333333,11.0930042541454,21.846343927343167,rural
Amazon,30938,5072.0,715.3333333333334,1.1817334575955265,24.95,153.22446344831192,9384.90809448861,3,0.5,17.180494056396,24.87278454412271,rural
Amazon,30952,4476.0,580.1666666666666,1.285837403045102,14.14,37.755537878390655,7076.623355325187,2,1.0,17.550398436387947,21.080899349867096,suburban
Amazon,30966,4221.0,553.8333333333334,1.2702377369846525,17.79,31.832385676522556,6955.194722247112,4,0.3333333333333333,13.246933997292256,23.20564073776297,rural
Amazon,30974,2971.0,412.8333333333333,1.1994348001614856,18.26,53.82702268136371,5436.138154721389,3,0.5,20.458659129493633,25.351013909411332,rural
Amazon,30982,3044.0,424.8333333333333,1.1941938014907807,24.57,66.6831619829418,6084.06789519755,3,0.5,23.043971561646632,28.350155641393616,rural
Amazon,30989,3112.0,415.6666666666667,1.247794707297514,11.39,43.13135688268341,5499.955907320829,3,0.5,24.06686651991466,24.5420341554798,rural
Amazon,31275,8588.0,1180.0,1.2129943502824858,30.8,129.47251256919432,14129.512676709497,3,0.5,14.394921412583013,20.351949838083815,suburban
Amazon,31303,5793.0,789.3333333333334,1.2231841216216217,30.88,112.90680951768702,10291.231205914351,3,0.5,17.49693148951868,22.94237955165401,rural
Amazon,31311,3965.0,574.6666666666666,1.1499419953596288,40.99,139.34872865781722,8790.113460938559,3,0.5,22.67932341289954,30.53535091016547,rural
Amazon,31319,5228.0,723.6666666666666,1.2040534315983418,29.57,101.18549289373648,9320.815628099372,3,0.5,16.606662665130298,21.624175021984158,rural
Amazon,31515,8733.0,1177.8333333333333,1.2357435970001416,12.09,125.18180774883541,12450.58174407703,4,0.3333333333333333,9.873953130239611,20.771736350981364,rural
Amazon,31535,8625.0,1217.0,1.1811832374691866,16.13,357.6158854957556,15851.91067139521,3,0.5,20.463565154885806,26.717964421588203,rural
Amazon,31832,5466.0,762.3333333333334,1.195015303891561,25.63,159.38246951696127,11355.500473785536,3,0.5,23.10495994135565,32.452709822478624,rural
DPD,30159,4783.0,571.6666666666666,1.394460641399417,13.32,6.211813374113814,6656.069904499083,4,0.3333333333333333,11.964811031714536,20.23554055271478,urban
DPD,30161,2359.0,282.1666666666667,1.3933845245126995,14.05,1.7979843382791898,3438.6384541878197,4,0.3333333333333333,17.240328255106334,19.10062236956807,urban
DPD,30163,2106.0,254.66666666666666,1.3782722513089005,14.01,2.603733329707664,3176.704105051865,3,0.6666666666666666,4.492869828209595,21.14652873521614,urban
DPD,30165,1757.0,241.33333333333334,1.2133977900552486,15.88,4.951012974183712,3109.5847921201566,4,0.3333333333333333,21.32620471188903,25.830340529857597,urban
DPD,30167,2824.0,356.1666666666667,1.3214787084698174,16.37,5.368928981069905,4548.61275587726,4,0.3333333333333333,15.130525648137617,25.119151116407114,urban
DPD,30173,1708.0,226.33333333333334,1.2577319587628866,13.13,4.775461708125837,3042.0725720869623,4,0.3333333333333333,21.055365115248165,32.99724667162241,urban
DPD,30177,1250.0,170.0,1.2254901960784315,12.44,3.576189607493106,2301.8161532682093,3,0.6666666666666666,11.251608260426888,34.699356232895546,urban
DPD,30179,1256.0,176.66666666666666,1.1849056603773584,14.42,8.305970462175056,2402.9493976963904,3,0.6666666666666666,11.380990588236775,34.86542761759127,suburban
DPD,30419,2858.0,418.0,1.1395534290271132,19.64,23.77191867081394,5350.888005691542,3,0.5,21.254860872102785,30.718633753275782,suburban
DPD,30449,2554.0,340.8333333333333,1.2488997555012225,15.53,5.186686836161483,4115.648431001423,4,0.5,5.610755564083052,23.06505754263423,urban
DPD,30453,1619.0,234.0,1.1531339031339032,18.23,9.157258958740023,3546.158276962033,3,0.5,31.658676645104585,35.93226049729426,suburban
DPD,30455,1318.0,198.33333333333334,1.107563025210084,19.47,6.967819653017212,3189.32194545774,4,0.3333333333333333,25.06362914814125,35.91624927856343,suburban
DPD,30457,1335.0,191.33333333333334,1.1628919860627178,18.69,6.068989648841514,3071.8681502213976,4,0.3333333333333333,25.712171922400923,35.99883944236058,suburban
