provider,raumtyp_3,n_clusters,mean_saving_pct,median_saving_pct,total_eur_saved
Amazon,rural,17,14.193681036075667,14.30754173128521,23062.170000000002
Amazon,suburban,14,11.783956760827873,10.766073137488826,16222.61
Amazon,urban,5,10.63871336422021,10.258232377354386,4030.500000000002
DHL,rural,17,11.615381092144403,10.818301402254564,26902.900000000005
DHL,suburban,14,7.2755969471608575,7.2605150852968805,16508.190000000002
DHL,urban,5,4.59046565528323,5.139744898156155,3336.510000000002
DPD,rural,17,27.38136219982093,27.704321457706403,25084.02
DPD,suburban,14,18.41863825011512,17.867308905388207,14549.859999999997
DPD,urban,5,17.70438319495289,16.719208371645003,3924.030000000001
FedEx,rural,17,24.430277748014774,25.688955120729126,14358.3
FedEx,suburban,14,16.63285975323473,13.981639116728768,8128.36
FedEx,urban,5,13.774349863351365,13.623214015966619,2875.7199999999993
GLS,rural,17,25.644870436217616,24.586611760668664,23367.04
GLS,suburban,14,17.427566083842475,17.57913859007967,11899.27
GLS,urban,5,11.281172518646002,8.342644239338831,1808.9900000000002
Hermes,rural,17,23.74121936839099,25.0542067147109,24177.740000000005
Hermes,suburban,14,17.431620298522997,17.06760743686619,16036.6
Hermes,urban,5,18.668974431168895,19.595559176035994,4349.88
UPS,rural,17,22.55932983274238,20.76498327354803,16199.95
UPS,suburban,14,18.268957228040495,19.090753137495117,11562.530000000002
UPS,urban,5,11.126958306975371,7.858948653125256,2605.239999999999
