raumtyp_8,raumtyp_8_name,n_samples,mape_pct,median_ape_pct,p90_ape_pct
2,Zentrumsnah hochverdichtete Wohnnutzung,408,6.160070037206081,3.1791116702594184,14.466227528284033
3,Zentrumsnah verdichtete Mischnutzung,130,6.195206965651782,5.468080816245427,11.05415076921389
4,Städtisch mit Verdichtungsansätzen,74,5.139002002114162,4.38997601610593,10.36810066698248
5,Städtisch mit gewerblicher Prägung,1308,4.697268813370934,3.082418577550012,10.790835988588407
6,Umland Verstädtert,42,4.311282405836515,2.984512490035292,10.597424833823334
7,Umland dörflich mit geringem gewerblichem Einfluss,68,4.880938433322752,4.077970355307103,10.757291218341297
8,Umland dörflich ohne gewerblichen Einfluss,45,5.455113937649223,3.9351114138841763,11.96007543065074
