raumtyp_3,n_clusters_x_provider,n_unique_clusters,mean_saving_pct,median_saving_pct,std_saving_pct,ci_lo_95,ci_hi_95,mean_routes_delta_pct,mean_distance_delta_pct,total_eur_saved,total_baseline_cost_eur
urban,35,5,12.540716762085422,10.258232377354386,7.620935855634105,10.049489212250181,15.031167829175917,-7.384912780914337,-18.93455163458795,22930.870000000003,221843.16
suburban,98,14,15.31988504596351,14.734165487787147,7.835240247973638,13.789995879553366,16.87926576478832,-6.4911767976341395,-22.833376022181408,94907.42,753641.36
rural,119,17,21.366588816200967,20.76498327354803,10.02544617889566,19.510829928864595,23.250723527353642,-10.037595412822023,-29.161166382906455,153152.12,776257.5499999997
