provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
Amazon,31311,3965,3,6449.988367570322,1.6267309880379124
Amazon,31311,3965,4,6974.137425426321,1.7589249496661592
Amazon,31311,3965,5,7639.823936931833,1.9268156209159728
Amazon,31311,3965,6,8406.70662219208,2.1202286562905623
Amazon,31319,5228,2,7315.410723246427,1.399275195724259
Amazon,31319,5228,3,7638.321408932421,1.4610408203772802
Amazon,31319,5228,4,7980.3892970613215,1.5264707913277202
Amazon,31319,5228,5,8325.433814463522,1.5924701251843003
Amazon,31319,5228,6,8925.409152308914,1.7072320490261885
Amazon,31515,8733,2,10294.125241148267,1.1787616215674186
Amazon,31515,8733,3,10766.872308170241,1.2328950312802291
Amazon,31515,8733,4,11169.198390179787,1.2789646616488934
Amazon,31515,8733,5,11685.386549517092,1.3380724320986022
Amazon,31515,8733,6,12267.335200261212,1.4047103172175899
Amazon,31535,8625,2,11556.695600781357,1.3399067363224761
Amazon,31535,8625,3,12410.534579647172,1.4389025599590923
Amazon,31535,8625,4,13172.666401415041,1.5272656697292801
