init_cost_eur,bal_cost_eur,penalty,share_willing,delta_pct,fleet_red_pct,saving_bal_pct,wait_bal
1909747.7491827162,1909747.7491827162,0.0,0.0,0.0,0.0,0.0,0.0
1738132.897040252,1760426.9120785915,0.0,0.1,1.28264156764436,3.167420814479638,7.818877501912341,0.4815255225775124
1718499.1828200237,1747804.98227326,0.0,0.2,1.7053135518601712,5.2272727272727275,8.479798810013541,0.5241038795162282
1704672.389667267,1736997.3797419593,0.0,0.3,1.8962582060123454,8.120133481646274,9.045716614389839,0.5894625520202459
1684811.7084415383,1719920.5821926575,0.0,0.4,2.0838455463723706,11.700975081256772,9.939907879001087,0.6367501101760442
1665016.397065342,1692833.0987651565,0.0,0.5,1.6706563219943404,12.087912087912088,11.358288051937185,0.6897329121573657
1639883.9392543568,1665699.6214036234,0.0,0.6,1.5742383671984002,8.724832214765101,12.779076602317462,0.7655184607548972
1614213.826860291,1634286.3510501632,0.0,0.7,1.2434860769910543,12.61930010604454,14.423967681094943,0.8309929830394864
1586102.9782462092,1600880.126755881,0.0,0.8,0.9316638775882707,20.11439466158246,16.173215680396346,0.8807647141096586
1547167.8362809855,1559505.0817088124,0.0,0.9,0.7974083443644109,29.042638777152053,18.33973453424891,0.9312096406017857
1468411.4385135714,1474147.7544344435,0.0,1.0,0.39064772790648156,25.572139303482587,22.809294836697116,0.9750450600228532
1909747.7491827162,1909747.7491827162,0.25,0.0,0.0,0.0,0.0,0.0
1739867.6765511015,1762685.3189618369,0.25,0.1,1.3114584929795488,2.947845804988662,7.700620685837452,0.4206744357271223
1728167.387137975,1756763.0268743834,0.25,0.2,1.6546799777170729,4.060324825986079,8.01072928997053,0.42565637213377344
1712849.395992834,1749519.0925018599,0.25,0.3,2.1408593537069738,6.300114547537228,8.390042965068387,0.40109991317863825
1700747.7280018313,1732429.570083151,0.25,0.4,1.8628184274302708,9.234234234234235,9.284900541207556,0.3859676623414322
1694170.7421774615,1724981.537342193,0.25,0.5,1.8186357725155535,10.022522522522523,9.674901406198519,0.3406371474036718
1674770.880492045,1702824.5092823852,0.25,0.6,1.6750726393151785,10.112359550561798,10.835108458113622,0.35563402025128055
1661899.9580568594,1682984.3682854015,0.25,0.7,1.268693107928984,11.208791208791208,11.873996500027767,0.3531342775486292
1646234.4768920913,1663196.1489981958,0.25,0.8,1.0303314834060697,10.942578548212351,12.910165768753133,0.35485368357440117
1620381.0821731566,1634725.6012915678,0.25,0.9,0.8852558991353587,9.100758396533044,14.400967248624601,0.3711300499552698
1542457.7311208462,1555417.1958170477,0.25,1.0,0.8401828092095813,15.539739027283511,18.55378824335861,0.45208925447103626
1909747.7491827162,1909747.7491827162,0.5,0.0,0.0,0.0,0.0,0.0
1745646.3568324167,1766897.548472348,0.5,0.1,1.2173824071957378,3.3783783783783785,7.480055979723062,0.36099965957581565
1740559.6387798,1771213.9989954408,0.5,0.2,1.7611783895627249,4.114285714285714,7.254033955351512,0.3196645106468323
1733919.2649288368,1766433.1930623667,0.5,0.3,1.8751696685753285,5.154639175257732,7.504370992539804,0.27843795439371505
1726178.3528063928,1751458.0766701605,0.5,0.4,1.464490840281268,6.407322654462242,8.288512060312488,0.24920158653503593
1717084.947677535,1747660.9854490438,0.5,0.5,1.7806945319079759,8.958566629339305,8.487338906567011,0.250991716344847
1706077.2723375116,1733405.2828368538,0.5,0.6,1.6018037953169473,9.304932735426009,9.233809356305246,0.24941784825526006
1702038.619928452,1722403.5813343967,0.5,0.7,1.1965040726749698,9.518477043673013,9.809890752770578,0.23758573279604367
1697748.6600715846,1716692.5932975695,0.5,0.8,1.1158267222656006,8.156424581005586,10.108934856331963,0.22206991098831208
1677492.7710923408,1695265.4041382319,0.5,0.9,1.0594759841688008,13.75,11.23092540029294,0.233429127115446
1639747.6369692304,1651607.4822529044,0.5,1.0,0.7232725948972735,14.385150812064966,13.516982388919368,0.22832698666539994
1909747.7491827162,1909747.7491827162,0.75,0.0,0.0,0.0,0.0,0.0
1748258.4392031326,1765149.138356126,0.75,0.1,0.9661442939004007,2.944507361268403,7.57160786750354,0.3513401893180696
1750530.085707471,1780538.3036594407,0.75,0.2,1.7142360589502228,3.7844036697247705,6.765785982916917,0.2722847212875951
1747412.8877301973,1779462.0386592005,0.75,0.3,1.834091481987037,4.243119266055046,6.822142378713209,0.2237480174909418
1745731.5217378237,1777189.1209009362,0.75,0.4,1.801972340614974,5.1664753157290475,6.941159026814354,0.20426163577779008
