penalty,saving_pct,avg_wait_d,pct_of_max_saving,pct_of_max_wait,marginal_pp_saving_per_wait_day,implied_shadow_price_eur_per_parcel_day
0.0,23.1096651826408,0.9692323830484588,100.0,100.0,1.0436687023122837,0.015779010242855197
0.025,23.064768636626447,0.9262143775119476,99.80572394424789,95.56164173949598,2.6799136306405233,0.04051705731345315
0.05,22.821117847476025,0.835296973919285,98.75139975899988,86.18129032091188,4.066387498705344,0.06147886762469101
0.075,22.586374402091863,0.7775692129867868,97.73561937651085,80.22526141162894,5.794859614438038,0.0876112783774617
0.1,22.112481203321508,0.6957910112181644,95.68499166284614,71.78784194454396,7.506969920034658,0.11349631832266027
0.125,21.69972652689757,0.6408081511800052,93.89892218428882,66.1150166242399,9.106225954941952,0.1376751379996726
0.15,21.271221641403468,0.5937518967432752,92.04469849862511,61.26001432966869,11.485988257221821,0.1736542697490877
0.2,20.37109351977812,0.5153844022388828,88.1496696675649,53.17449264518797,15.032014637210782,0.22726590574747996
0.25,19.23238386949548,0.4396321043756383,83.22225232385537,45.358792387115066,18.026095137105436,0.27253278667540354
0.3,17.62106962409883,0.3502442345601799,76.24978330423923,36.13624974627666,23.029833143166794,0.34818326184561865
0.4,15.53059351030797,0.2594717091669107,67.20388801640462,26.77084605353491,29.655540425146864,0.44835595346403745
0.5,14.137998713653843,0.2125126999332346,61.177860440288114,21.9258769774936,36.30154649782972,0.5488355382811382
0.6,12.946134388062063,0.1796803707192978,56.020432514906204,18.538420079832836,44.39920047880317,0.6712622861809189
0.75,10.67637246945412,0.128558686226543,46.19873280325087,13.263969350899767,57.6100640640241,0.8709945875964217
1.0,7.933190287224182,0.0809423152539063,34.328451859974706,8.351177351227586,80.45008057292173,1.2163080511911573
1.5,3.9072469416820175,0.0308995643098229,16.907414758293466,3.188044977679828,112.1912480528347,1.696196166716794
2.0,1.440196513480489,0.0089098773153462,6.232009430246165,0.9192715257121916,150.34400031190836,2.2730197002339536
3.0,0.2684751120909365,0.0011162746510652,1.1617438416745471,0.11517100239204342,240.5099066208709,3.636219301844443
5.0,0.0,0.0,0.0,0.0,,
10.0,0.0,0.0,0.0,0.0,,
