provider,baseline_k,max_sav,knee_P,knee_sav,knee_wait,category
GLS,186.91404044994732,33.70259781958172,0.75,23.238935821513888,0.39368663039721646,Cost-friendly
DPD,210.1788252010488,33.27579423883723,0.75,21.42736777294731,0.3396918275794812,Cost-friendly
Hermes,232.26779568581068,30.08946352592746,0.5,22.8472844599887,0.43881689111427463,Cost-friendly
FedEx,167.74872604045805,28.548624456022758,0.5,19.976618072260155,0.29019839353119015,Cost-friendly
UPS,198.052502895174,27.19573277623067,0.5,18.7453412852137,0.28648323807382686,Cost-friendly
Amazon,350.81063830676516,21.197234393814863,0.25,16.59119420274626,0.5079410744168273,Cost-friendly
DHL,563.7752206035123,11.068361546100208,0.25,4.534067431949432,0.1627602703181056,Service-bound
