penalty,share,batch_share_pct,extra_cost_kE
0.0,0.0,100.0,366.18038514194524
0.0,0.1,100.0,366.18038514194524
0.0,0.2,100.0,366.18038514194524
0.0,0.30000000000000004,100.0,366.18038514194524
0.0,0.4,100.0,366.18038514194524
0.0,0.5,100.0,366.18038514194524
0.0,0.6000000000000001,100.0,366.18038514194524
0.0,0.7000000000000001,100.0,366.18038514194524
0.0,0.8,100.0,366.18038514194524
0.0,0.9,100.0,366.18038514194524
0.0,1.0,100.0,366.18038514194524
0.25,0.0,100.0,366.18038514194524
0.25,0.1,100.0,365.6382016375989
0.25,0.2,100.0,360.9634026089022
0.25,0.30000000000000004,99.67948717948718,354.7500367890827
0.25,0.4,99.35897435897436,347.3838875443011
0.25,0.5,99.35897435897436,338.1609497201431
0.25,0.6000000000000001,98.71794871794873,329.7713778341857
0.25,0.7000000000000001,97.75641025641025,319.5860861424657
0.25,0.8,96.7948717948718,310.37697110520094
0.25,0.9,94.87179487179486,302.3972655913427
0.25,1.0,92.62820512820514,290.0995835406643
0.5,0.0,100.0,366.18038514194524
0.5,0.1,100.0,360.9634026089022
0.5,0.2,99.35897435897436,347.3838875443011
0.5,0.30000000000000004,98.71794871794873,329.7713778341857
0.5,0.4,96.7948717948718,310.37697110520094
0.5,0.5,92.62820512820514,290.0995835406643
0.5,0.6000000000000001,84.93589743589743,263.44533278715403
0.5,0.7000000000000001,82.37179487179486,242.08894079128535
0.5,0.8,79.8076923076923,221.42316250000127
0.5,0.9,77.56410256410257,211.36817988820212
0.5,1.0,75.64102564102564,201.2827792408599
0.75,0.0,100.0,366.18038514194524
0.75,0.1,99.67948717948718,354.7500367890827
0.75,0.2,98.71794871794873,329.7713778341857
0.75,0.30000000000000004,94.87179487179486,302.3972655913427
0.75,0.4,84.93589743589743,263.44533278715403
0.75,0.5,81.73076923076923,233.10886671773437
0.75,0.6000000000000001,77.56410256410257,211.36817988820212
0.75,0.7000000000000001,74.35897435897436,193.78884140727553
0.75,0.8,70.1923076923077,172.13080088889996
0.75,0.9,67.3076923076923,157.67631465753144
0.75,1.0,60.89743589743589,131.49821446110937
1.0,0.0,100.0,366.18038514194524
1.0,0.1,99.35897435897436,347.3838875443011
1.0,0.2,96.7948717948718,310.37697110520094
1.0,0.30000000000000004,84.93589743589743,263.44533278715403
1.0,0.4,79.8076923076923,221.42316250000127
1.0,0.5,75.64102564102564,201.2827792408599
1.0,0.6000000000000001,70.1923076923077,172.13080088889996
1.0,0.7000000000000001,65.7051282051282,148.6104846893712
1.0,0.8,58.01282051282052,122.77211258021765
1.0,0.9,54.807692307692314,106.69796187709295
1.0,1.0,47.11538461538461,83.82253470380512
