penalty,total_cost,avg_wait,saving_pct
0.0,1468411.4385135716,0.9692323830484589,23.109665182640796
0.025,1469268.8492905414,0.9262143775119477,23.064768636626447
0.05,1473921.9647522075,0.835296973919285,22.821117847476025
0.075,1478404.9724167855,0.7775692129867868,22.586374402091863
0.1,1487455.1371138324,0.6957910112181644,22.112481203321508
0.125,1495337.7102564848,0.6408081511800052,21.699726526897575
0.15,1503521.0726623465,0.5937518967432752,21.271221641403468
0.2,1520711.2492048473,0.5153844022388828,20.371093519778118
0.25,1542457.7311208462,0.4396321043756383,19.232383869495482
0.3,1573229.7686545693,0.3502442345601799,17.62106962409883
0.4,1613152.5891848926,0.25947170916691076,15.53059351030797
0.5,1639747.6369692304,0.2125126999332346,14.137998713653845
0.6,1662509.2391005312,0.17968037071929782,12.946134388062063
0.75,1705855.9662529528,0.12855868622654304,10.676372469454119
1.0,1758243.8262340704,0.0809423152539063,7.933190287224182
1.5,1835129.1886589332,0.03089956430982295,3.9072469416820184
2.0,1882243.6286827144,0.008909877315346268,1.440196513480489
3.0,1904620.5517724436,0.001116274651065211,0.26847511209093655
5.0,1909747.749182716,0.0,0.0
10.0,1909747.749182716,0.0,0.0
