threshold_pct,feature,raumtyp_3,label,n_samples,break_even_value,be_median_boot,be_ci95_lo,be_ci95_hi,min_feature,max_feature,median_feature
0.0,weekly_parcels,ALL,Weekly parcels per cluster (sum across days),312,,,,,612.0,32845.0,2474.5
0.0,weekly_parcels,urban,Weekly parcels per cluster (sum across days),46,,1171.08894302882,1169.425876274853,1184.162034688136,1169.0,12633.0,2470.0
0.0,weekly_parcels,suburban,Weekly parcels per cluster (sum across days),141,,17230.1990040576,1672.6581656903704,17469.366607476477,612.0,32845.0,2488.0
0.0,weekly_parcels,rural,Weekly parcels per cluster (sum across days),125,,,,,618.0,19286.0,2471.0
0.0,area_km2,ALL,Cluster area  [km²],312,,,,,1.7979843382791898,357.6158854957556,19.21423828970633
0.0,area_km2,urban,Cluster area  [km²],46,,12.029802020954618,12.029802020954618,12.029802020954618,1.7979843382791898,12.113461405690837,4.343746915001259
0.0,area_km2,suburban,Cluster area  [km²],141,,,,,2.603733329707664,129.47251256919432,9.157258958740025
0.0,area_km2,rural,Cluster area  [km²],125,,,,,10.610683695060027,357.6158854957556,101.18549289373648
0.0,demand_per_area,ALL,Demand density  [parcels/km²/week],312,,904.5580630316658,861.7834111448676,990.5947828772278,0.8073270641474845,1965.186970261905,24.509964047038327
0.0,demand_per_area,urban,Demand density  [parcels/km²/week],46,,,,,26.783455582103898,1965.186970261905,184.46503891682545
0.0,demand_per_area,suburban,Demand density  [parcels/km²/week],141,,,,,2.745756554388401,671.0876699226017,33.14310552617151
0.0,demand_per_area,rural,Demand density  [parcels/km²/week],125,,65.86852112954423,62.408529176364794,66.20157018982428,0.8073270641474845,126.4134689037816,5.07528485774918
0.0,hub_dist_km,ALL,Distance to hub  [km],312,,,,,0.37,40.99,12.39
0.0,hub_dist_km,urban,Distance to hub  [km],46,,,,,1.04,17.09,11.08
0.0,hub_dist_km,suburban,Distance to hub  [km],141,,,,,1.29,30.8,10.86
0.0,hub_dist_km,rural,Distance to hub  [km],125,,,,,0.37,40.99,17.56
