cluster_id,mean_actual_saving_pct,mean_predicted_saving_pct,mean_bias_pp,median_bias_pp,n_provider_cells,total_baseline_cost,total_actual_saving_abs
30159,9.61116105953012,-30.66209375231986,-40.273254811849974,-45.968156755640734,12,63292.649999999994,5209.799999999999
30161,9.522821731987344,15.42044596735937,5.897624235372027,6.535041845397922,7,37310.270000000004,2942.3800000000015
30163,12.930324141162474,8.293473139012242,-4.636851002150232,5.562945032357692,22,91122.7,10273.819999999998
30167,15.623731560280278,-28.92216791166852,-44.5458994719488,-41.52131687232544,7,27864.93,3914.1900000000005
30419,17.823531766875437,20.94750489697275,3.1239731300973097,1.1434498058574434,7,45390.26,6167.610000000001
30449,13.11664876344809,-5.301282150222495,-18.417930913670588,2.613654110687026,13,50863.770000000004,6077.970000000001
30453,20.179321461686204,28.15618002018457,7.97685855849837,7.937155027773976,7,30164.13,5075.66
30455,19.479025186616944,27.369419406623724,7.890394220006778,7.683653303360089,7,24722.66,4082.0199999999995
30457,9.01803169772686,21.917786745813427,12.899755048086563,13.027103346892334,7,24246.86,2248.519999999999
30519,13.970417686933454,18.33377659722425,4.3633589102908,4.34861049959742,7,42511.54,4786.530000000001
30539,14.408958247461653,20.33374732216236,5.924789074700706,8.231803464486017,7,32016.760000000002,4065.370000000001
30559,13.453797775370903,17.871143654114647,4.417345878743744,7.678422706444913,25,110397.12,13371.050000000001
30625,11.565121276855983,14.87333112013931,3.3082098432833256,7.5919788277122215,12,40775.42,5041.6
30657,9.772837635518878,15.778411080766864,6.00557344524799,5.99433340806543,7,32624.19,2709.699999999998
30823,16.593208930726227,22.62084446953872,6.027635538812494,6.314282303562507,7,31360.85,4407.46
30827,17.3098800862957,20.820055259380027,3.510175173084327,4.978772015505669,13,57223.880000000005,9454.490000000002
30853,10.601681423354897,12.146741605300036,1.5450601819451384,4.142715492656062,12,44424.69,4385.2300000000005
30855,8.618352378767922,14.251538730306539,5.633186351538617,1.8665239121944994,7,98141.32999999999,6816.199999999997
30880,13.541745623746964,17.189628184749445,3.6478825610024805,3.9250349594666396,7,56903.87,6250.49
30890,22.09548622894035,25.92217316015006,3.8266869312097067,2.2869375022839407,7,53163.66,10110.840000000002
30900,28.07113715819198,29.965652485880724,1.8945153276887436,1.5904556900928668,7,58453.770000000004,14367.290000000003
30916,16.678606298966766,21.64694905777599,4.968342758809228,4.666169726464572,7,53245.27,7853.090000000002
30926,19.115156205524237,25.57942797493426,6.464271769410021,7.41449110414578,7,45756.28,7409.9400000000005
30938,19.968891759913042,22.410996148471657,2.4421043885586116,2.655948476384964,7,48444.77,8443.57
30952,21.297209532522306,28.642899372898977,7.345689840376673,4.562883850445601,7,36886.59,7250.719999999999
30966,18.617031274710566,24.594512202316594,5.977480927606028,7.255995583638082,7,33656.5,5696.520000000001
30974,23.49183494094807,29.72551401926406,6.233679078315993,4.645358260932559,7,27716.84,6036.67
30982,23.771647590707623,31.19394691480387,7.422299324096252,9.430393891468746,7,28147.2,5655.9
30989,16.09849086049456,23.42381581614777,7.325324955653206,7.694918334912916,7,27638.04,4259.67
31275,19.949580754037896,23.228281947715118,3.2787011936772203,1.7265572510796208,7,65859.61,11683.95
31303,24.04399187647399,27.780349862931377,3.7363579864573855,3.80192447564896,7,48127.649999999994,9862.749999999996
31311,30.339262832216598,33.3563681290214,3.017105296804804,1.714107561145859,7,39688.27,10807.730000000001
31319,19.462499591233804,24.877638158156174,5.41513856692237,6.9841010590874255,7,39249.979999999996,6604.5
31515,17.45852424791337,22.1210796358879,4.662555387974527,5.369653461654593,7,67515.49,10645.61
31535,31.20173178122224,36.30020326101447,5.0984714797922255,3.655858713526193,7,84190.7,24127.060000000005
31832,28.147305812240003,32.53010201585934,4.382796203619339,3.7613544487139947,7,52643.57,12894.509999999998
