raumtyp_8,n_cells,cost_mape_pct,cost_bias_pct,mean_actual_cost,n_provider_plz_cells,n_clusters,mean_actual_saving_pct,mean_predicted_saving_pct,saving_bias_pp,saving_mae_pp
2,78,38.05,28.771,2270.709,19,2,9.579,-13.684,-23.263,33.631
3,112,30.765,23.897,1820.697,27,3,13.988,-5.298,-19.286,26.132
4,327,11.046,-5.012,2025.442,79,8,14.448,20.582,6.134,9.965
5,121,15.345,4.089,1892.381,29,2,14.111,11.348,-2.764,13.535
6,140,8.356,-3.195,2600.261,33,4,14.497,17.582,3.085,6.643
7,278,6.735,-4.556,2524.537,69,9,22.85,26.926,4.076,4.86
8,231,7.58,-5.847,2103.96,56,8,19.122,24.894,5.772,5.949
