feature,gain,gain_pct
n_parcels,1176960971.2107344,34.720378989847596
load_factor,797240149.1547542,23.5186049509364
min_vehicles,580866295.0609193,17.135570677587662
centroid_hub_dist_km,315415125.0162144,9.304754318596933
parcels_per_stop,129257874.33057046,3.8131106246988247
hub_dist_km,84234066.79840326,2.4849071418979483
load_x_parcels,62116398.778365135,1.8324353651682699
parcels_per_km2,55637229.10746431,1.641299692859792
max_hub_dist_km,37505988.176035166,1.106427618004269
b2c_share,19840369.493271828,0.5852914114869722
demand_cap_ratio,14714020.264008999,0.43406397707916655
ch_perimeter_km,11798584.782486439,0.3480585552215646
coord_std_y,10880700.599165916,0.32098094815283446
area_km2,10267603.961435318,0.30289458153567306
demand_concentration,8762606.674909592,0.2584971227880717
max_stop_demand,7498670.276161194,0.22121096644385246
parcels_x_nn_dist,7449108.120296955,0.21974888156826813
provider_idx,6388886.819996834,0.18847232587954243
stops_x_hub_dist,5193575.271227837,0.15321060437869377
demand_std,4810658.474506855,0.14191454900478073
aspect_ratio,4612159.294559717,0.13605881807952427
ch_area_km2,3830393.435095787,0.11299670507335594
log_max_hub_dist_km,3356906.4623188972,0.09902882717111941
stop_density_ch,3300351.4156007767,0.0973604518350862
log_ch_area_km2,2999901.968310356,0.08849718539517819
log_max_stop_demand,2864370.6214938164,0.08449900717042873
mean_nn_dist_km,2557840.034633398,0.07545634695644911
log_ch_perimeter_km,2469949.557569504,0.072863575617466
n_stops,1920768.0005774498,0.056662705529663716
coord_std_x,1875066.744114399,0.05531451728593882
log_hub_dist_km,1865128.8655443192,0.05502134961194764
mean_inter_stop_dist_km,1818884.2486343384,0.05365713222103183
stops_x_nn_dist,1800954.2362709045,0.053128196394119344
vehicles_x_hub_dist,1522586.8085865974,0.0449163501018113
aspect_x_area,1509117.969201088,0.044519018992745546
log_area_km2,885056.8020744324,0.02610919847576213
parcels_x_hub_dist,884655.0188479424,0.026097345860223702
log_mean_nn_dist_km,878616.243473053,0.02591920183099983
delivery_frequency,712121.9106311798,0.021007614720354152
log_n_stops,612224.7907457352,0.018060647108633872
day_idx,316526.0333580971,0.009337526143318932
log_mean_inter_stop_dist_km,203156.1768476963,0.005993112453868755
log_demand_std,191345.24298334122,0.005644689600413737
log_n_parcels,582.1429977416992,1.7173233439580894e-05
