feature,perm_mean,perm_std,rank
parcels_per_route_baseline,1.193683305309226,0.06635965173269644,1
demand_per_area,0.2974546594132601,0.021209788220539025,2
weekly_parcels,0.17112830444555152,0.014319583646538509,3
area_km2,0.05950772735076521,0.004361238141781221,4
hub_dist_km,0.04737706666330229,0.004423284220340738,5
baseline_routes,0.045081554225008445,0.003976323797877769,6
b2c_share,0.0,0.0,7
