provider,plz,baseline_routes,baseline_distance_km,baseline_parcels,baseline_cost_eur,saml_routes,saml_distance_km,saml_parcels,saml_cost_eur,fixed_routes,fixed_distance_km,fixed_parcels,fixed_cost_eur,actual_saving_pct,actual_saving_abs,actual_fixed_saving_pct,predicted_saving_pct,avg_demand,area_km2,demand_per_area,hub_dist_km,cluster_id,raumtyp_3,raumtyp_8,raumtyp_8_name,weekly_parcels,parcels_per_route_baseline,parcels_per_route_saml,baseline_eur_per_parcel,saml_eur_per_parcel,fixed_eur_per_parcel,routes_delta_pct,distance_delta_pct,b2c_share,_view
Amazon,30159,19,729.97,3562,5025.92,18,644.41,3562,4600.16,19,677.3199999999999,3562,4846.91,8.471284859289447,425.7600000000002,3.561735960779324,14.243087738412225,1503.1666666666667,1.955539120782912,768.6712327518486,12.83,30159,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,3562,187.47368421052633,197.88888888888889,1.4109825940482874,1.2914542391914654,1.3607271195957327,-5.2631578947368425,-11.721029631354721,0.7,PLZ
Amazon,30161,24,934.15,4512,6193.16,22,807.69,4512,5493.0,22,817.18,4512,5547.53,11.305375607928744,700.1599999999999,10.424888102358087,20.605951631290736,752.0,1.7979843382791898,418.246134846604,12.74,30161,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,4512,188.0,205.0909090909091,1.3725975177304963,1.2174202127659575,1.2295057624113475,-8.333333333333334,-13.537440453888554,0.7,PLZ
Amazon,30163,23,877.71,4469,5808.44,20,726.62,4469,4922.56,23,840.87,4469,5682.13,15.251599396739902,885.8799999999992,2.17459421118234,17.266962179567827,744.8333333333334,2.603733329707664,286.06360138154395,12.41,30163,suburban,5,Städtisch mit gewerblicher Prägung,4469,194.30434782608697,223.45,1.2997180577310359,1.1014902662788097,1.2714544640859253,-13.043478260869565,-17.21411400120769,0.7,PLZ
Amazon,30165,18,689.36,3574,4672.21,18,622.1,3574,4431.37,19,685.24,3574,4748.88,5.15473405519016,240.84000000000012,-1.6409793224191564,16.2982128946736,595.6666666666666,4.951012974183712,120.31207952244884,10.52,30163,suburban,5,Städtisch mit gewerblicher Prägung,3574,198.55555555555554,198.55555555555554,1.3072775601566873,1.2398908785674314,1.3287297146054842,0.0,-9.75687594290356,0.7,PLZ
Amazon,30167,17,602.72,3232,4404.56,16,509.22,3232,3952.66,16,530.24,3232,4016.02,10.259821639391916,451.90000000000055,8.821312457998085,14.402852415012209,955.0,4.343746915001259,219.8562712532536,10.62,30167,urban,3,Zentrumsnah verdichtete Mischnutzung,3232,190.11764705882354,202.0,1.3627970297029703,1.2229764851485148,1.2425804455445544,-5.882352941176471,-15.513007698433766,0.7,PLZ
Amazon,30173,19,828.97,3759,5143.63,18,756.2,3759,4737.39,19,809.65,3759,5004.48,7.897924228608974,406.2399999999998,2.7052878997906253,15.106204368451582,626.5,4.775461708125837,131.19150320773366,15.11,30159,urban,2,Zentrumsnah hochverdichtete Wohnnutzung,3759,197.8421052631579,208.83333333333334,1.3683506251662676,1.2602793296089387,1.3313328012769352,-5.2631578947368425,-8.778363511345402,0.7,PLZ
Amazon,30177,16,681.63,2906,4180.19,14,579.62,2906,3550.49,16,669.15,2906,4085.15,15.063908578318207,629.6999999999998,2.2735808659414887,21.80885147163398,484.3333333333333,3.576189607493106,135.4327892230661,13.99,30163,suburban,5,Städtisch mit gewerblicher Prägung,2906,181.625,207.57142857142858,1.4384686854783206,1.2217790777701307,1.4057639366827255,-12.5,-14.965597171485998,0.7,PLZ
Amazon,30179,16,657.35,2781,4252.65,14,512.06,2781,3501.9,14,537.25,2781,3581.33,17.653698282247532,750.7499999999995,15.785921719398488,24.09017279485341,463.5,8.305970462175056,55.80323239900192,12.08,30163,suburban,5,Städtisch mit gewerblicher Prägung,2781,173.8125,198.64285714285714,1.529180151024811,1.2592233009708738,1.2877849694354548,-12.5,-22.10238077127863,0.7,PLZ
Amazon,30419,32,1010.62,6859,8394.95,32,776.87,6859,7645.14,33,874.0,6859,8084.77,8.931679164259469,749.8100000000004,3.694840350448785,18.8347630692748,1143.1666666666667,23.77191867081394,48.08895245255041,6.74,30419,suburban,5,Städtisch mit gewerblicher Prägung,6859,214.34375,214.34375,1.2239320600670653,1.1146143752733635,1.1787097244496283,0.0,-23.129366131681543,0.7,PLZ
Amazon,30449,17,636.92,3141,4433.65,15,499.18,3141,3718.85,16,556.56,3141,4036.41,16.122156688056112,714.7999999999997,8.959660776109972,15.057997918364409,879.1666666666666,2.190643461651216,401.3280490673673,12.05,30449,urban,3,Zentrumsnah verdichtete Mischnutzung,3141,184.76470588235293,209.4,1.4115409105380452,1.1839700732250875,1.2850716332378223,-11.764705882352942,-21.625949883815856,0.7,PLZ
Amazon,30453,18,702.47,3593,4943.95,18,535.35,3593,4470.51,18,584.36,3593,4608.53,9.576148626098556,473.4399999999996,6.784453726271505,19.09775501397077,598.8333333333334,9.157258958740025,65.39438668618025,9.82,30453,suburban,4,Städtisch mit Verdichtungsansätzen,3593,199.61111111111111,199.61111111111111,1.3759949902588366,1.24422766490398,1.2826412468689117,0.0,-23.79033980098794,0.7,PLZ
Amazon,30455,17,675.72,3165,4742.4,16,534.24,3165,4113.69,17,597.54,3165,4466.27,13.25721153846154,628.71,5.822579284750321,20.57598173914743,527.5,6.967819653017212,75.70517411017971,9.84,30455,suburban,4,Städtisch mit Verdichtungsansätzen,3165,186.1764705882353,197.8125,1.498388625592417,1.2997440758293837,1.4111437598736178,-5.882352941176471,-20.937666489078318,0.7,PLZ
Amazon,30457,17,806.95,3134,4871.15,15,654.96,3134,4041.48,16,722.82,3134,4396.27,17.03232296275006,829.6699999999996,9.74882727897928,23.157999560398963,522.3333333333334,6.068989648841514,86.06594566082998,13.37,30457,suburban,4,Städtisch mit Verdichtungsansätzen,3134,184.35294117647058,208.93333333333334,1.5542916400765794,1.2895596681557115,1.4027664326738993,-11.764705882352942,-18.83511989590433,0.7,PLZ
Amazon,30459,17,764.04,3087,4748.25,16,663.87,3087,4281.62,17,696.37,3087,4521.1,9.82741009845733,466.6300000000001,4.783867740746583,20.2441730180073,514.5,7.274391190340525,70.72756833357974,13.92,30449,urban,3,Zentrumsnah verdichtete Mischnutzung,3087,181.58823529411765,192.9375,1.5381438289601554,1.386984126984127,1.4645610625202463,-5.882352941176471,-13.110570127218466,0.7,PLZ
Amazon,30519,27,1437.98,5505,7909.63,26,1312.02,5505,7172.18,27,1382.8,5505,7561.11,9.323444965188004,737.4499999999998,4.406274376930406,20.06706192547443,918.0,12.113461405690837,75.78345852232862,17.09,30519,urban,3,Zentrumsnah verdichtete Mischnutzung,5505,203.88888888888889,211.73076923076923,1.4368083560399636,1.3028483197093552,1.3734986376021798,-3.7037037037037037,-8.759509868009292,0.7,PLZ
Amazon,30539,17,1442.18,3516,5352.17,18,1386.53,3516,5191.55,18,1420.66,3516,5311.69,3.001025752171547,160.6199999999999,0.7563287414263835,16.192150787644593,586.0,19.21423828970633,30.49821653944713,21.37,30539,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,3516,206.8235294117647,195.33333333333334,1.5222326507394768,1.4765500568828214,1.5107195676905574,5.882352941176471,-3.8587416272587394,0.7,PLZ
Amazon,30559,26,2029.54,5369,7958.82,25,1773.62,5369,7039.0,26,1883.61,5369,7465.86,11.55724089751998,919.8199999999996,6.193883012808431,18.934331995707662,894.8333333333334,19.484913733542943,45.92441853067551,20.15,30559,suburban,4,Städtisch mit Verdichtungsansätzen,5369,206.5,214.76,1.4823654311789904,1.3110448873160738,1.3905494505494504,-3.8461538461538463,-12.609753934389078,0.7,PLZ
Amazon,30625,17,1151.8,3180,4965.01,16,1024.96,3180,4458.1,16,1025.7,3180,4461.89,10.20964711047913,506.9099999999999,10.133312923841036,16.702425946191767,530.0,8.86389555258122,59.79312333454345,16.66,30625,suburban,4,Städtisch mit Verdichtungsansätzen,3180,187.05882352941177,198.75,1.5613238993710692,1.4019182389937108,1.403110062893082,-5.882352941176471,-11.012328529258546,0.7,PLZ
Amazon,30627,12,663.26,2090,3403.67,12,641.73,2090,3257.18,12,639.29,2090,3259.73,4.303883749012103,146.49000000000024,4.228964617603941,24.615344092360505,348.3333333333333,3.390385523567528,102.74151152191098,17.89,30625,suburban,4,Städtisch mit Verdichtungsansätzen,2090,174.16666666666666,174.16666666666666,1.6285502392344497,1.5584593301435405,1.5596794258373206,0.0,-3.2460875071615916,0.7,PLZ
Amazon,30629,15,935.37,2757,4314.68,15,870.28,2757,4079.44,14,818.89,2757,3832.33,5.452084511481737,235.24000000000024,11.179276331037304,19.763893171788485,459.5,14.669809711755615,31.322833017512203,20.32,30559,suburban,4,Städtisch mit Verdichtungsansätzen,2757,183.8,183.8,1.5649909321726516,1.4796663039535727,1.3900362713093943,0.0,-6.958743598789788,0.7,PLZ
Amazon,30655,18,922.1,3642,5002.4,17,779.75,3642,4388.19,19,890.61,3642,4978.5,12.2783064129218,614.21,0.4777706700783551,14.696737580202775,607.0,4.462508901721823,136.0221376288558,16.14,30559,suburban,4,Städtisch mit Verdichtungsansätzen,3642,202.33333333333334,214.23529411764707,1.373531026908292,1.2048846787479406,1.3669686985172982,-5.555555555555555,-15.437588114087411,0.7,PLZ
Amazon,30657,18,866.52,3559,4960.84,18,756.49,3559,4582.25,19,824.6,3559,4936.19,7.631570459841481,378.59000000000015,0.4968916554454597,19.149077126389727,593.1666666666666,12.670949194485749,46.813120119273,15.05,30657,rural,8,Umland dörflich ohne gewerblichen Einfluss,3559,197.72222222222223,197.72222222222223,1.3938859230120821,1.2875105366676032,1.3869598201742062,0.0,-12.69791810921848,0.7,PLZ
Amazon,30659,17,876.37,3002,4719.91,16,703.61,3002,4087.97,16,746.61,3002,4218.69,13.388814617227872,631.94,10.619270282696077,23.36766870589066,500.3333333333333,11.3882150903338,43.93430659366551,18.11,30559,suburban,4,Städtisch mit Verdichtungsansätzen,3002,176.58823529411765,187.625,1.572255163224517,1.3617488341105928,1.405293137908061,-5.882352941176471,-19.713134863128587,0.7,PLZ
Amazon,30823,22,421.3,4370,5550.42,21,263.96,4370,4791.21,22,314.04,4370,5154.02,13.678424335455697,759.21,7.141801881659399,19.99796593503992,728.3333333333334,12.528872220645557,58.132393762716944,1.29,30823,suburban,4,Städtisch mit Verdichtungsansätzen,4370,198.63636363636363,208.0952380952381,1.2701189931350114,1.096386727688787,1.1794096109839818,-4.545454545454546,-37.34630904343699,0.7,PLZ
Amazon,30826,20,633.16,3852,5614.86,19,398.1,3852,4640.81,19,483.55,3852,4901.99,17.347716594892827,974.0499999999992,12.696131337201638,22.6831660904883,642.0,56.38950461206911,11.385097358393748,3.98,30827,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,3852,192.6,202.73684210526315,1.4576479750778815,1.2047793354101766,1.2725830737279336,-5.0,-37.12489734032471,0.7,PLZ
Amazon,30827,17,412.44,3498,4418.38,18,291.82,3498,4170.07,18,328.71,3498,4298.51,5.6199330976511845,248.3100000000004,2.712985302305367,16.824982040348036,583.0,10.610683695060027,54.94462154888519,3.78,30827,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,3498,205.76470588235293,194.33333333333334,1.2631160663236136,1.192129788450543,1.2288479130931962,5.882352941176471,-29.245466007176802,0.7,PLZ
Amazon,30851,17,642.55,3032,4392.99,15,512.8,3032,3657.7,17,598.56,3032,4205.03,16.737802726616724,735.29,4.278634825028057,23.34740706794509,505.3333333333333,4.12190647126244,122.59699167277854,11.33,30853,suburban,6,Umland Verstädtert,3032,178.35294117647058,202.13333333333333,1.4488753298153034,1.2063654353562006,1.3868832453825857,-11.764705882352942,-20.192981090965684,0.7,PLZ
Amazon,30853,15,672.37,2911,4102.3,15,593.97,2911,3835.27,16,626.79,2911,4067.34,6.509275284596451,267.0300000000002,0.8522048606879077,19.33435089582092,485.1666666666667,8.711379660258004,55.69343612470881,12.37,30853,suburban,6,Umland Verstädtert,2911,194.06666666666666,194.06666666666666,1.4092408107179664,1.3175094469254551,1.3972311920302303,0.0,-11.660246590418962,0.7,PLZ
Amazon,30855,62,2356.13,13591,15884.48,61,2057.11,13591,14721.11,62,2140.74,13591,15167.41,7.323941356594607,1163.369999999999,4.514280605975139,17.98147786286426,2265.333333333333,58.08159729436245,39.0026004597021,9.97,30855,suburban,4,Städtisch mit Verdichtungsansätzen,13591,219.20967741935485,222.80327868852459,1.168749908027371,1.0831513501581929,1.1159892575969392,-1.6129032258064515,-12.691150318530811,0.7,PLZ
Amazon,30880,33,2865.29,6971,10786.36,32,2648.25,6971,9579.02,34,2862.88,6971,10389.35,11.193210684605372,1207.34,3.680667064700234,15.98732139268941,1161.8333333333333,33.96099660372796,34.21081386068031,23.78,30880,suburban,6,Umland Verstädtert,6971,211.24242424242425,217.84375,1.5473188925548702,1.374124228948501,1.4903672356907187,-3.0303030303030303,-7.574800456498294,0.7,PLZ
Amazon,30890,31,2039.21,6502,9819.87,31,1582.04,6502,8473.23,31,1699.77,6502,8841.27,13.71341983142344,1346.6400000000012,9.96550870836376,17.947084606392355,1083.6666666666667,102.53407734275534,10.568843985830574,12.55,30890,rural,8,Umland dörflich ohne gewerblichen Einfluss,6502,209.74193548387098,209.74193548387098,1.5102845278375885,1.3031728698861889,1.3597769916948632,0.0,-22.418975975990705,0.7,PLZ
Amazon,30900,33,2569.96,6667,11224.39,31,1924.79,6667,8973.7,32,2151.99,6667,9713.72,20.05178009673576,2250.6899999999987,13.458816024746111,26.885468837519163,1111.1666666666667,173.55971997363926,6.402215138601479,17.55,30900,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,6667,202.03030303030303,215.06451612903226,1.6835743212839358,1.3459877006149694,1.4569851507424627,-6.0606060606060606,-25.104281778704728,0.7,PLZ
Amazon,30916,31,1964.77,6164,9504.28,27,1515.7,6164,7500.6,29,1689.63,6164,8286.6,21.0818704836137,2003.6800000000003,12.811912106966547,20.82991961066265,1027.3333333333333,59.876286869182046,17.157599227518155,19.41,30916,suburban,6,Umland Verstädtert,6164,198.83870967741936,228.2962962962963,1.5419013627514602,1.2168397144711227,1.3443543153796236,-12.903225806451612,-22.856110384421584,0.7,PLZ
Amazon,30926,31,1073.34,6338,8682.19,30,697.52,6338,7355.11,32,823.72,6338,8078.93,15.28508360217872,1327.0800000000008,6.948246928482332,22.046290346152382,1056.3333333333333,53.8021301528445,19.633671200980977,4.34,30926,rural,8,Umland dörflich ohne gewerblichen Einfluss,6338,204.4516129032258,211.26666666666668,1.3698627327232566,1.160478068791417,1.2746812874723887,-3.225806451612903,-35.014068235601016,0.7,PLZ
Amazon,30938,25,2292.3,5072,8427.6,24,1930.35,5072,7091.31,26,2151.5,5072,7915.78,15.856115620105369,1336.29,6.073140633157727,26.487946750208057,845.3333333333334,153.22446344831192,5.516960636109484,24.95,30938,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,5072,202.88,211.33333333333334,1.6615930599369086,1.3981289432176658,1.5606821766561514,-4.0,-15.789818086637887,0.7,PLZ
Amazon,30952,22,1286.98,4476,7135.91,21,1113.85,4476,6268.8,23,1201.91,4476,6779.02,12.15135841119072,867.1099999999997,5.001324288002503,19.408350265371613,746.0,37.755537878390655,19.758690828424733,14.14,30952,suburban,4,Städtisch mit Verdichtungsansätzen,4476,203.45454545454547,213.14285714285714,1.5942605004468275,1.4005361930294906,1.51452636282395,-4.545454545454546,-13.452423503084749,0.7,PLZ
Amazon,30966,22,1314.11,4221,6777.63,20,1042.25,4221,5634.66,21,1141.68,4221,6068.89,16.863859490706933,1142.9700000000005,10.457047670055752,22.216047117351028,703.5,31.83238567652256,22.10013434584812,17.79,30966,rural,8,Umland dörflich ohne gewerblichen Einfluss,4221,191.86363636363637,211.05,1.6056929637526653,1.334911158493248,1.437784885098318,-9.090909090909092,-20.68776586434925,0.7,PLZ
Amazon,30974,15,1053.74,2971,4984.34,15,831.97,2971,4367.27,16,942.74,2971,4796.39,12.38017470718289,617.0699999999997,3.7708101774758505,20.874006842724057,495.1666666666667,53.82702268136371,9.199220800263694,18.26,30974,rural,7,Umland dörflich mit geringem gewerblichem Einfluss,2971,198.06666666666666,198.06666666666666,1.677664086166274,1.469966341299226,1.6144025580612589,0.0,-21.045988574031544,0.7,PLZ
Amazon,30982,16,1294.8,3044,5544.48,16,1168.06,3044,5058.51,17,1256.14,3044,5371.56,8.764933771967783,485.96999999999935,3.118777595013404,22.23923997908868,507.3333333333333,66.6831619829418,7.608117525427395,24.57,30982,rural,8,Umland dörflich ohne gewerblichen Einfluss,3044,190.25,190.25,1.8214454664914586,1.6617969776609725,1.7646386333771356,0.0,-9.788384306456596,0.7,PLZ
Amazon,30989,17,897.58,3112,5230.89,16,747.6,3112,4587.93,17,789.09,3112,4854.38,12.291598561621443,642.96,7.197819109176454,22.3627313735816,518.6666666666666,43.13135688268341,12.025280541890474,11.39,30989,rural,8,Umland dörflich ohne gewerblichen Einfluss,3112,183.05882352941177,194.5,1.6808772493573265,1.4742705655526993,1.5598907455012854,-5.882352941176471,-16.70937409478821,0.7,PLZ
Amazon,31275,40,3749.73,8588,13290.93,39,3149.32,8588,11437.92,41,3427.34,8588,12427.78,13.941913771271087,1853.01,6.494278428973741,19.842473423694404,1431.3333333333333,129.47251256919432,11.055113590758364,30.8,31275,suburban,6,Umland Verstädtert,8588,214.7,220.2051282051282,1.5476164415463438,1.3318490917559385,1.4471099208197487,-2.5,-16.012086203539983,0.7,PLZ
