raumtyp_3,n_samples,total_saving_eur,saving_from_routes_eur,saving_from_distance_eur,share_from_routes_pct,share_from_distance_pct,residual_eur
urban,35,22473.47,9457.500000000002,1730.6585519999999,42.082953811761165,7.700895998704249,11285.311448
suburban,98,98812.72,27615.900000000005,9226.393512,27.94771766226049,9.337252847609093,61970.42648799999
rural,119,151898.97999999998,35938.5,17532.849768,23.659474211084238,11.542440751083387,98427.63023199998
ALL,252,273185.17,73011.9,28489.901832000003,26.726157938954007,10.42878785550475,171683.368168
