window,share_willing,total_cost_eur,cost_savings_pct,avg_wait_days_weighted,n_pkts_weekly,size_1_count,size_2_count,size_3_count,size_4_count,size_5_count,size_6_count
1,0.0,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.1,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.2,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.30000000000000004,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.4,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.5,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.6000000000000001,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.7000000000000001,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.8,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,0.9,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
1,1.0,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
2,0.0,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
2,0.1,1947454.9811423116,1.500244706797976,0.01974875903509536,1263130,0,0.0,17.399999999999977,3.700000000000002,3.1000000000000014,287.8000000000003
2,0.2,1917793.3944866976,3.00048941359594,0.03949751807019072,1263130,0,0.0,34.799999999999955,7.400000000000004,6.200000000000003,263.60000000000156
2,0.30000000000000004,1888131.8078310834,4.500734120393917,0.05924627710528608,1263130,0,0.0,52.19999999999986,11.100000000000005,9.3,239.39999999999858
2,0.4,1858470.221175469,6.000978827191904,0.07899503614038143,1263130,0,0.0,69.59999999999991,14.800000000000008,12.400000000000006,215.19999999999874
2,0.5,1828808.6345198548,7.501223533989879,0.09874379517547678,1263130,0,0.0,87.0,18.5,15.5,191.0
2,0.6000000000000001,1799147.0478642406,9.001468240787858,0.11849255421057216,1263130,0,0.0,104.39999999999972,22.20000000000001,18.6,166.80000000000123
2,0.7000000000000001,1769485.4612086266,10.501712947585819,0.13824131324566752,1263130,0,0.0,121.80000000000034,25.899999999999984,21.69999999999999,142.59999999999985
2,0.8,1739823.8745530122,12.001957654383808,0.15799007228076287,1263130,0,0.0,139.19999999999982,29.600000000000016,24.80000000000001,118.40000000000069
2,0.9,1710162.2878973978,13.502202361181798,0.17773883131585821,1263130,0,0.0,156.6000000000005,33.299999999999976,27.899999999999984,94.19999999999901
2,1.0,1680500.7012417838,15.002447067979759,0.19748759035095356,1263130,0,0.0,174.0,37.0,31.0,70.0
3,0.0,1977116.5677979258,0.0,0.0,1263130,0,0.0,0.0,0.0,0.0,312.0
3,0.1,1943694.0124623198,1.6904696404841408,0.023765856773781534,1263130,0,5.1999999999999975,12.69999999999997,3.5000000000000018,2.9000000000000012,287.70000000000033
3,0.2,1910271.4571267138,3.3809392809682817,0.04753171354756307,1263130,0,10.399999999999995,25.39999999999994,7.0000000000000036,5.8000000000000025,263.4000000000015
3,0.30000000000000004,1876848.9017911076,5.071408921452435,0.0712975703213446,1263130,0,15.600000000000016,38.099999999999994,10.500000000000004,8.7,239.09999999999857
3,0.4,1843426.3464555014,6.761878561936587,0.09506342709512614,1263130,0,20.79999999999999,50.79999999999988,14.000000000000007,11.600000000000005,214.79999999999873
3,0.5,1810003.7911198954,8.452348202420728,0.11882928386890766,1263130,0,26.0,63.5,17.5,14.5,190.5
3,0.6000000000000001,1776581.2357842894,10.14281784290487,0.1425951406426892,1263130,0,31.20000000000003,76.19999999999999,21.000000000000007,17.4,166.20000000000124
3,0.7000000000000001,1743158.680448683,11.833287483389032,0.16636099741647073,1263130,0,36.4,88.9000000000002,24.499999999999986,20.29999999999999,141.89999999999984
3,0.8,1709736.1251130772,13.523757123873164,0.19012685419025227,1263130,0,41.59999999999998,101.59999999999977,28.000000000000014,23.20000000000001,117.60000000000069
3,0.9,1676313.569777471,15.214226764357317,0.21389271096403384,1263130,0,46.799999999999955,114.30000000000024,31.49999999999998,26.099999999999987,93.29999999999905
3,1.0,1642891.014441865,16.904696404841456,0.23765856773781532,1263130,0,52.0,127.0,35.0,29.0,69.0
