window,share_willing,provider,plz,weekly_parcels,schedule_size_batched,schedule_idx,schedule_weekdays,cost_eur_batched,avg_wait_d_batched
1,1.0,Amazon,30177,2906,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4303.383789128021,0.0
1,1.0,Amazon,30179,2781,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4436.510641357625,0.0
1,1.0,Amazon,30419,6859,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8831.073543589806,0.0
1,1.0,Amazon,30449,5275,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",7286.9557989289315,0.0
1,1.0,Amazon,30453,3593,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5216.692623543966,0.0
1,1.0,Amazon,30455,3165,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5111.029677318395,0.0
1,1.0,Amazon,30457,3134,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5043.970099270481,0.0
1,1.0,Amazon,30459,3087,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4928.015079141291,0.0
1,1.0,Amazon,30519,5508,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8346.32573312505,0.0
1,1.0,Amazon,30539,3516,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5627.962235893593,0.0
1,1.0,Amazon,30559,5369,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",8220.145637585392,0.0
1,1.0,Amazon,30625,3180,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5046.268159427167,0.0
1,1.0,Amazon,30627,2090,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",3547.4714879753374,0.0
1,1.0,Amazon,30629,2757,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4747.462262826808,0.0
1,1.0,Amazon,30655,3642,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5359.615227592288,0.0
1,1.0,Amazon,30657,3559,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5313.7130349867975,0.0
1,1.0,Amazon,30659,3002,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5141.8050173611355,0.0
1,1.0,Amazon,30823,4370,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",6075.121185772869,0.0
1,1.0,Amazon,30826,3852,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",5983.682501883059,0.0
1,1.0,Amazon,30827,3498,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4799.600856921735,0.0
1,1.0,Amazon,30851,3032,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4555.918264704074,0.0
1,1.0,Amazon,30853,2911,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",4478.664464981744,0.0
1,1.0,Amazon,30855,13592,6,38,"Mon,Tue,Wed,Thu,Fri,Sat",16112.699139824752,0.0
