penalty,wait_d,mean_freq,n_batched,init_cost_eur,init_sav_pct
0.0,0.9692323830484589,2.0256410256410255,312.0,1468411.4385135714,23.109665215546325
0.25,0.4396321043756383,3.0641025641025643,292.0,1542457.7311208462,19.2323839040603
0.5,0.2125126999332346,3.951923076923077,236.0,1639747.6369692304,14.137998750398824
0.75,0.12855868622654304,4.516025641025641,190.0,1705855.966252953,10.676372507680503
1.0,0.0809423152539063,4.92948717948718,143.0,1758243.8262340704,7.933190326624532
2.0,0.008909877315346268,5.830128205128205,31.0,1882243.6286827144,1.4401965556595409
5.0,0.0,6.0,0.0,1909747.7491827162,4.279537730406116e-08
10.0,0.0,6.0,0.0,1909747.7491827162,4.279537730406116e-08
