penalty,share_willing,provider,plz,weekly_parcels,schedule_idx_init,schedule_idx_balanced,schedule_size_init,schedule_size_balanced,weekdays_init,weekdays_balanced,avg_wait_d_init,avg_wait_d_balanced,dd_cost_init,dd_cost_balanced,veh_init,veh_balanced
0.0,0.0,DHL,30853,7164,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8087.121413003322,8087.121413003322,33.0,33.0
0.0,0.0,DHL,30855,32854,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,33181.974645551454,33181.974645551454,145.0,145.0
0.0,0.0,DHL,30880,16161,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,17626.17972557684,17626.17972557684,74.0,74.0
0.0,0.0,DHL,30890,13989,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,16098.044263724361,16098.044263724361,64.0,64.0
0.0,0.0,DHL,30900,14609,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,17593.529073393336,17593.529073393336,67.0,67.0
0.0,0.0,DHL,30916,14499,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,17062.590954336305,17062.590954336305,65.0,65.0
0.0,0.0,DHL,30926,13519,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,14775.4174568136,14775.4174568136,63.0,63.0
0.0,0.0,DHL,30938,12030,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,14888.20103197316,14888.20103197316,55.0,55.0
0.0,0.0,DHL,30952,9709,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,11029.332668750209,11029.332668750209,45.0,45.0
0.0,0.0,DHL,30966,9182,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,10564.896592403224,10564.896592403224,43.0,43.0
0.0,0.0,DHL,30974,6515,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,7602.589230059956,7602.589230059956,32.0,32.0
0.0,0.0,DHL,30982,6551,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8026.683955967339,8026.683955967339,33.0,33.0
0.0,0.0,DHL,30989,6841,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,8197.588934134921,8197.588934134921,33.0,33.0
0.0,0.0,DHL,31275,18743,38,38,6,6,"Mon,Tue,Wed,Thu,Fri,Sat","Mon,Tue,Wed,Thu,Fri,Sat",0.0,0.0,20490.51279819747,20490.51279819747,84.0,84.0
