schedule_size,n,mean_actual_eur,mean_pred_eur,mae_eur,rmse_eur,mape_pct,median_ape_pct,bias_eur,bias_pct,r2
2,560.0,2403.547,2316.831,258.768,472.735,13.308,7.955,-86.716,-2.111,0.937
3,90.0,1316.603,1345.596,217.13,439.809,17.785,8.259,28.993,4.586,0.675
4,8.0,1759.535,3154.077,1434.497,2041.178,59.22,57.228,1394.542,57.139,-4.326
