provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency
GLS,30627,1,2,1.0,1.0,0.0,1.0,1.0,42,True,537.96,83.034,3.535277777777778,2,2,8.0794,OK,293.0,68.0,3.3903855235675273,11.43,4.3088235294117645,1.2739130434782608,2,86.4208503614926,2.333868813667487,6.44684949283879,0.10621022783360741,0.9610938974519238,29.136170637261944,11.735398414634457,12.837111942888999,0.5853819447575136,0.5033782408098897,1.1046320302943977,0.8430034129692833,3.982525628369871,22.0,0.6369565217391304,4.0,1.0,2.0
FedEx,30625,5,2,1.0,1.0,0.0,1.0,1.0,42,True,842.02,156.742,5.928888888888889,3,3,8.3781,OK,608.0,92.0,12.254281076148747,12.66,6.608695652173913,2.643478260869565,3,49.615313719495745,7.112256581268834,10.655245464999338,0.12697327588534524,1.555247540783689,12.935416340616202,12.499489104833236,13.883564068879043,0.9992803223791824,0.7512094322943593,1.2215442874840055,0.14144736842105263,11.114968874508174,86.0,0.881159420289855,3.0,5.0,2.0
Amazon,30167,5,1,1.0,1.0,0.0,1.0,1.0,42,True,810.35,116.287,5.4875,3,3,8.4984,OK,681.0,125.0,5.368928981069905,10.65,5.448,2.9608695652173913,3,126.84094023242086,3.8649008458276666,7.683707204043244,0.08890280120543209,1.2097560994821992,32.34235624309563,10.958384157467993,11.848614926042023,0.5797247264974731,0.7798750140013716,1.1952881354455012,0.973568281938326,4.9436116352318775,31.0,0.9869565217391304,0.0,5.0,1.0
Hermes,30177,2,2,1.0,1.0,0.0,1.0,1.0,42,True,744.57,78.729,4.066944444444444,3,3,4.363,OK,624.0,67.0,3.576189607493106,7.86,9.313432835820896,2.7130434782608694,3,174.48739258470732,1.4898294585562235,5.068500495056843,0.09933392637859637,0.7883051096874005,44.971590281835965,7.579233623070985,8.126591870933058,0.4918924426025804,0.3943195119632999,1.133903739968647,0.9583333333333334,19.135189865813008,154.0,0.9043478260869565,5.0,2.0,2.0
Amazon,30657,1,1,1.0,1.0,0.0,1.0,1.0,42,True,830.66,146.092,5.728611111111111,3,3,13.0525,OK,604.0,117.0,12.670949194485747,15.05,5.162393162393163,2.626086956521739,3,47.66809421529793,6.773416784306966,10.98852314721888,0.1134906253181158,1.6481504850882922,17.27340922989889,14.770792111060693,16.303734057932825,0.5873214816354837,1.2374128822479786,1.7900267271873078,0.9867549668874173,8.782224923938927,85.0,0.8753623188405797,0.0,1.0,1.0
Hermes,30659,5,3,1.0,1.0,0.0,1.0,1.0,42,True,1026.09,127.711,6.102222222222222,4,4,22.0033,OK,742.0,112.0,11.3882150903338,10.33,6.625,3.226086956521739,4,65.1550742688204,5.6484659792319105,10.435087962449385,0.11639215676181994,1.2134901587892797,19.828392418720025,8.577947147214541,11.296801134699304,0.7030548227642786,0.6692268506417287,1.6104573313114419,0.9528301886792453,7.383772022869767,44.0,0.8065217391304348,5.0,5.0,3.0
UPS,31319,1,2,1.0,1.0,0.0,1.0,1.0,42,True,683.44,187.571,6.444166666666667,2,2,22.2034,OK,401.0,116.0,101.18549289373648,22.42,3.456896551724138,1.7434782608695651,2,3.963018694993405,54.383022783944156,30.54752923589103,0.1954283006079411,3.477710674523202,2.133018616137818,21.431338384685613,27.621013585470937,2.237953148932609,1.8793892599509345,1.419162394651211,0.2169576059850374,4.537947738675889,31.0,0.8717391304347826,6.0,1.0,2.0
DHL,30539,4,2,1.0,1.0,0.0,1.0,1.0,42,True,2283.93,178.355,8.96861111111111,10,10,9.796,OK,2297.0,154.0,19.21423828970633,3.99,14.915584415584416,9.986956521739131,10,119.54676346605814,8.901760567273538,11.81638374990197,0.10270292024145863,1.4518320811928853,17.299948570417197,3.849239985450818,6.31002253994786,0.7043867201491597,0.9569403015901311,1.4494418083000804,0.8341314758380496,28.87499958929584,334.0,0.9986956521739131,1.0,4.0,2.0
GLS,30966,2,3,1.0,1.0,0.0,1.0,1.0,42,True,1052.43,133.364,6.772777777777778,4,4,28.6053,OK,876.0,203.0,31.832385676522556,6.33,4.315270935960591,3.8086956521739133,4,27.519143833636043,19.739683372252152,17.09314891687844,0.09854575172708245,2.445943529249974,10.283852895297946,6.3136377869468605,8.444645852944086,1.1476398460464987,1.6123295979358332,1.2334285796297217,0.906392694063927,4.2425377316443775,33.0,0.9521739130434783,4.0,2.0,3.0
GLS,30966,3,1,1.0,1.0,0.0,1.0,1.0,42,True,583.96,85.965,4.781666666666666,2,2,18.0151,OK,297.0,145.0,31.832385676522556,6.33,2.0482758620689654,1.291304347826087,2,9.330120683321809,19.072438644981254,16.813811683804317,0.127062854611042,2.416908656701654,7.602593601115371,6.319961434441293,8.444645852944086,1.1365285817783395,1.5851233171876136,1.2299216285992234,0.9124579124579124,1.5858470356411563,12.0,0.6456521739130435,4.0,3.0,1.0
DHL,30519,5,3,1.0,1.0,0.0,1.0,1.0,42,True,5858.35,494.282,20.769166666666667,26,26,30.8395,OK,5904.0,247.0,13.714884737746763,5.03,23.902834008097166,25.669565217391305,26,430.481197100456,9.6087807340633,11.879447684293744,0.0934290061488264,1.4781946002416566,25.70565473769014,4.9913274034464905,7.3941819945048675,0.8996953939548871,0.7440946167702921,1.059170875362305,0.8756775067750677,51.975612001981695,727.0,0.9872909698996656,1.0,5.0,3.0
Hermes,30459,4,2,1.0,1.0,0.0,1.0,1.0,42,True,828.19,138.157,5.746388888888889,3,3,8.1782,OK,491.0,103.0,7.274391190340525,11.99,4.766990291262136,2.134782608695652,3,67.49705743787688,3.3237201965978436,6.959166846468356,0.09676310272887667,1.031473538828077,30.989371519729815,11.713217287331718,12.674926346121708,0.66470352459004,0.47727798389721127,1.0801882627957282,0.9653767820773931,4.754566294667809,37.0,0.7115942028985507,5.0,4.0,2.0
UPS,31832,4,3,1.0,1.0,0.0,1.0,1.0,42,True,1458.73,445.132,14.68138888888889,4,4,43.6951,OK,711.0,200.0,159.38246951696127,30.54,3.555,3.091304347826087,4,4.4609673959427285,115.61251563528108,41.97274932564763,0.14879541301154967,5.3824504887601705,1.7299165138049004,29.09109467639111,36.22779953226378,3.701288020135673,2.4390549259842107,1.1238712361200116,0.2011251758087201,5.055390687177401,58.0,0.7728260869565218,6.0,4.0,3.0
GLS,30453,2,2,1.0,1.0,0.0,1.0,1.0,42,True,836.16,152.043,5.816944444444444,3,3,10.6487,OK,516.0,111.0,9.157258958740023,13.29,4.648648648648648,2.243478260869565,3,56.34873954367215,10.112293994056511,13.763233843604926,0.10906534078768369,1.7213651376613948,10.976737826772057,14.189261223592784,15.917019276086604,0.9799558175299863,1.1297247974961824,1.0522890147542112,0.8856589147286822,4.3467884979512865,30.0,0.7478260869565218,4.0,2.0,2.0
Amazon,30449,5,2,1.0,1.0,0.0,1.0,1.0,42,True,1792.65,253.668,10.268611111111111,7,7,41.2801,OK,1513.0,149.0,5.186686836161483,12.61,10.154362416107382,6.578260869565217,7,291.7083771958994,5.5019891612170015,9.082651266671995,0.09178240465099845,1.1760418450074075,27.08111478122982,12.232225341288684,14.219901479303028,0.7792375228594827,0.5408577248172023,1.367246895641934,0.9755452742894911,10.139778026120203,55.0,0.9397515527950311,0.0,5.0,2.0
GLS,30161,3,3,1.0,1.0,0.0,1.0,1.0,42,True,1006.78,137.228,5.4625,4,4,6.2941,OK,760.0,75.0,1.79798433827919,12.21,10.133333333333333,3.3043478260869565,4,422.6955618130571,1.6676123857593685,4.86346410983525,0.0843792789282441,0.7206236312652138,44.974480065310736,12.257325039784929,13.059510677072174,0.400285881407926,0.3927421159865736,1.211838712891065,0.8026315789473685,8.727478953792378,42.0,0.8260869565217391,4.0,3.0,3.0
UPS,30989,5,2,1.0,1.0,0.0,1.0,1.0,42,True,652.07,145.506,6.028333333333333,2,2,11.6506,OK,345.0,105.0,43.13135688268341,18.29,3.2857142857142856,1.5,2,7.998820926000413,21.82529581077898,19.52274428931619,0.14752139255176236,1.7475333382074079,4.8109313573721675,18.694032065025677,21.61125529669948,1.0007096244313203,1.1831193002854254,1.604222096372451,0.24057971014492754,3.6793226232536873,20.0,0.75,6.0,5.0,2.0
Amazon,30459,3,1,1.0,1.0,0.0,1.0,1.0,42,True,831.76,133.943,5.891111111111111,3,3,15.3047,OK,556.0,110.0,7.274391190340525,13.92,5.054545454545455,2.417391304347826,3,76.43251310684225,4.229201378849012,8.362247038086426,0.11013817079905425,1.018719691299938,26.00963873466266,13.468297322957026,14.98417589917355,0.6408904099878087,0.49349777322858607,1.0612812397517795,0.9928057553956835,5.630818386565077,40.0,0.8057971014492754,0.0,3.0,1.0
UPS,30982,1,1,1.0,1.0,0.0,1.0,1.0,42,True,408.52,123.801,4.7525,1,1,4.5429,OK,171.0,79.0,66.6831619829418,24.88,2.1645569620253164,0.7434782608695653,1,2.564365499700561,32.63864550164087,23.593569516763935,0.20037363135814767,3.322035443635889,2.4204435810924925,23.40209820989396,29.994753982050682,1.1016943769666088,2.7746228360149807,2.0584282032895276,0.2046783625730994,2.0215946816515693,14.0,0.7434782608695653,6.0,1.0,1.0
DPD,30179,3,2,1.0,1.0,0.0,1.0,1.0,42,True,549.65,103.694,3.636388888888889,2,2,49.2403,OK,431.0,79.0,8.305970462175056,14.42,5.455696202531645,1.873913043478261,2,51.89038438828442,5.698565607337857,9.356775374526434,0.158226035254481,1.2565038237875477,13.863137751414897,13.71806758081901,16.290057535685236,0.8935540054879391,0.49067722035262284,1.6454305018731012,0.8236658932714617,6.116583534584907,35.0,0.9369565217391305,2.0,3.0,2.0
DPD,30177,3,3,1.0,1.0,0.0,1.0,1.0,42,True,740.04,113.324,3.566388888888889,3,3,48.9148,OK,565.0,69.0,3.576189607493106,12.44,8.18840579710145,2.4565217391304346,3,157.98938591403788,1.5956319509801047,5.178417443092729,0.09063810054439136,0.8055657991548303,43.243054864636726,12.477344448507626,13.347963501498887,0.5011425304452036,0.40165802890619356,1.1275280845952544,0.8353982300884956,18.297283683982723,148.0,0.8188405797101449,2.0,3.0,3.0
DHL,30657,3,1,1.0,1.0,0.0,1.0,1.0,42,True,1875.75,160.817,8.328611111111112,8,8,38.4291,OK,1717.0,132.0,12.670949194485747,6.56,13.007575757575758,7.465217391304348,8,135.50681749613668,7.210076777986936,11.244709180750423,0.10322676485045254,1.6562632752472675,18.30771073104364,5.625742937634782,8.179636175363036,0.5740302630894851,1.2517671200342242,1.8079865892705609,0.8101339545719278,37.40654946139642,422.0,0.9331521739130435,1.0,3.0,1.0
DPD,31311,2,2,1.0,1.0,0.0,1.0,1.0,42,True,1050.59,236.792,10.855277777777777,3,3,61.5317,OK,661.0,272.0,139.34872865781722,17.19,2.4301470588235294,2.873913043478261,3,4.743495016902108,88.28577221906285,38.91377120322723,0.13249213085905998,6.029716868846643,3.080904127168853,16.570654774617633,23.268850011273255,3.9400245658793844,2.9678107835801364,1.348967091376722,0.8895612708018155,1.995097662836598,17.0,0.9579710144927536,2.0,2.0,2.0
Hermes,30559,3,3,1.0,1.0,0.0,1.0,1.0,42,True,1715.98,358.125,12.261388888888888,6,6,42.1717,OK,1365.0,207.0,19.484913733542946,14.22,6.594202898550725,5.934782608695652,6,70.05419775865755,10.427412642023064,13.507122142011182,0.10235535539198713,1.875085502394255,19.85152090037928,13.718971672998505,15.924514410186964,1.3735986310284298,0.6930629323774226,1.6701575740215604,0.967032967032967,8.23328728599406,74.0,0.9891304347826086,5.0,3.0,3.0
Amazon,30916,0,2,1.0,1.0,0.0,1.0,1.0,42,True,2822.27,559.58,19.79222222222222,10,10,63.905,OK,2125.0,309.0,59.876286869182046,19.41,6.877022653721683,9.23913043478261,10,35.489842659126616,41.35439950023423,25.141590736439078,0.10783849841750336,3.907615202282595,7.471998233180725,18.831206415318416,24.03012630754753,2.5971322353463093,1.8053996613665184,1.3033705429831441,0.9976470588235294,9.815008463338641,93.0,0.9239130434782609,0.0,0.0,2.0
Hermes,30851,3,1,1.0,1.0,0.0,1.0,1.0,42,True,502.9,41.677,3.0097222222222224,2,2,22.1517,OK,317.0,79.0,4.12190647126244,3.44,4.012658227848101,1.3782608695652174,2,76.9061603435438,3.2253140320050964,7.3247299532067425,0.11503874487797758,1.0613267649819411,24.493738971174754,3.323257120771091,4.645385300240339,0.6919538284897634,0.4784466502203524,1.6917939178927028,0.9495268138801262,4.159764084370912,20.0,0.6891304347826087,5.0,3.0,1.0
GLS,30159,4,1,1.0,1.0,0.0,1.0,1.0,42,True,817.75,114.084,5.717222222222222,3,3,27.69,OK,509.0,154.0,6.211813374113817,11.0,3.3051948051948052,2.2130434782608694,3,81.94064588629314,4.578248827708922,8.456501149332041,0.09232657625048533,1.1501892614668838,33.63731544426905,10.873861162850856,12.41249530264948,0.7293223396796645,0.5548626709523513,1.185088311197595,0.8212180746561886,3.1976613249473314,21.0,0.7376811594202899,4.0,4.0,1.0
Hermes,30419,2,3,1.0,1.0,0.0,1.0,1.0,42,True,2188.25,202.823,11.3,9,9,40.5205,OK,2025.0,245.0,23.77191867081394,4.3,8.26530612244898,8.804347826086957,9,85.18454181345493,22.23535468591232,18.51135410868541,0.10405739916724727,2.3801517550192646,11.018488504490776,4.362837463193715,6.932571562535476,1.5543818441051969,1.1667909244054477,1.5601651001606307,0.9639506172839506,9.956590495447934,88.0,0.9782608695652174,5.0,2.0,3.0
DPD,30938,5,1,1.0,1.0,0.0,1.0,1.0,42,True,683.28,163.459,6.700833333333334,2,2,20.8691,OK,285.0,161.0,153.22446344831192,17.56,1.7701863354037266,1.2391304347826086,2,1.860016302789278,64.69732069945229,30.402313163981884,0.2020237936906077,4.00328836046535,2.488511089167298,14.668188769454702,21.70979649006726,2.313720377458538,2.493595624938891,1.1013289248523879,0.7894736842105263,2.9303476299510716,37.0,0.6195652173913043,2.0,5.0,1.0
DPD,30167,1,2,1.0,1.0,0.0,1.0,1.0,42,True,1348.65,278.424,8.175555555555556,5,5,27.21,OK,1066.0,136.0,5.368928981069905,16.37,7.838235294117647,4.6347826086956525,5,198.54984183224764,4.121748110364951,7.87988138106366,0.08476607920788483,1.2108338215379637,32.99570870379029,16.056844056479555,17.332524330077007,0.586610943149857,0.7776000596347008,1.166843581684953,0.7345215759849906,8.784361596070545,61.0,0.9269565217391305,2.0,1.0,2.0
Amazon,30457,0,1,1.0,1.0,0.0,1.0,1.0,42,True,848.12,138.747,6.293333333333333,3,3,13.575,OK,494.0,115.0,6.068989648841514,13.37,4.2956521739130435,2.1478260869565218,3,81.39740361796427,3.4493375706603584,7.751447348475173,0.08899928496428809,1.0222478840535925,33.339734845953,13.356006838778406,14.580758126213459,0.5392431315613103,0.6203196186487895,1.2745849263242215,0.9898785425101214,4.575879887910327,31.0,0.7159420289855073,0.0,0.0,1.0
GLS,30163,4,3,1.0,1.0,0.0,1.0,1.0,42,True,1547.18,219.71,9.071944444444444,6,6,34.2893,OK,1234.0,152.0,6.17992293720077,13.11,8.118421052631579,5.3652173913043475,6,199.6788653417978,4.276859115723494,8.3346818446738,0.08919600750144058,1.2884717705956195,35.54009984597937,13.254289218397517,14.444356827172511,0.9277537678138769,0.4748013655296904,1.65243910382645,0.8581847649918962,12.620437795041191,133.0,0.8942028985507247,4.0,4.0,3.0
Hermes,30826,0,2,1.0,1.0,0.0,1.0,1.0,42,True,1133.09,165.0,8.670555555555556,4,4,20.6038,OK,713.0,179.0,56.38950461206911,9.0,3.983240223463687,3.1,4,12.644196910490251,26.626207293091174,22.403625326918057,0.13145292390271102,3.2263392587827378,6.722699858437817,9.605521931833154,13.33210382454236,2.1928006939599394,1.4452805146647587,1.6655871613016542,0.9957924263674615,8.263451779432598,107.0,0.775,5.0,0.0,2.0
UPS,30419,1,3,1.0,1.0,0.0,1.0,1.0,42,True,1464.47,171.169,7.300277777777778,6,6,22.5319,OK,1156.0,131.0,23.77191867081394,7.09,8.82442748091603,5.026086956521739,6,48.6288051043723,22.574020699336558,18.25713206567371,0.15197301154083012,2.582502764728308,5.803131030346315,7.124406356417495,10.028831649204779,1.71363951261709,1.197991055803811,1.45187870108321,0.15397923875432526,12.719211241106345,68.0,0.8376811594202899,6.0,1.0,3.0
FedEx,30419,5,1,1.0,1.0,0.0,1.0,1.0,42,True,330.64,61.321,3.265833333333333,1,1,2.6771,OK,191.0,58.0,23.77191867081394,5.53,3.293103448275862,0.8304347826086956,1,8.034690116725873,18.759497497896128,17.01253704604431,0.2682765796086683,2.390376371910281,3.091767250508959,5.835736387246446,7.87965537032099,1.504371934526101,1.1738615308030134,1.4472200264569364,0.12041884816753927,2.678191751586128,10.0,0.8304347826086956,3.0,5.0,1.0
Amazon,30161,2,1,1.0,1.0,0.0,1.0,1.0,42,True,1275.43,192.654,7.070833333333334,5,5,11.084,OK,930.0,80.0,1.79798433827919,12.74,11.625,4.043478260869565,5,517.2458848501883,1.6678578242442688,4.927397226232052,0.08586818240702446,0.7123830395131893,47.96571916209297,12.641595545782575,13.496854096091257,0.39810080204635373,0.3850328360721007,1.258571758219036,0.975268817204301,10.35298869892168,50.0,0.808695652173913,0.0,2.0,1.0
UPS,30982,5,3,1.0,1.0,0.0,1.0,1.0,42,True,702.8,206.497,6.776944444444444,2,2,69.5279,OK,420.0,117.0,66.6831619829418,24.88,3.58974358974359,1.826086956521739,2,6.2984415782119045,32.429298596351124,23.719466853004974,0.1318867375598262,3.464404736018002,3.6078486141900274,23.525421048504462,30.334238078940032,1.0409771464667592,2.967389041665352,2.1359216278509794,0.18333333333333332,4.478159432184806,33.0,0.9130434782608695,6.0,5.0,3.0
DHL,31311,3,2,1.0,1.0,0.0,1.0,1.0,42,True,3309.46,311.778,14.993333333333334,14,14,93.5442,OK,3075.0,369.0,139.34872865781722,3.81,8.333333333333334,13.369565217391305,14,22.066939753364572,93.3220598333981,39.51347585399618,0.13000991758202743,5.532679816497719,3.954049028265686,4.4534165566037585,11.74482579130932,3.944942533527425,3.0675142512543156,1.3462463109689422,0.9056910569105691,8.55050355892044,81.0,0.9549689440993789,1.0,3.0,2.0
Amazon,30853,4,2,1.0,1.0,0.0,1.0,1.0,42,True,1035.44,161.621,5.994722222222222,4,4,15.7325,OK,807.0,114.0,8.711379660258004,12.37,7.078947368421052,3.508695652173913,4,92.63745026308487,5.9888007943464725,9.343402885536419,0.10690745595584511,1.3844783998949117,19.035530470076395,12.15612868193481,13.626443007559267,0.8337197117422721,0.694701719287436,1.0336369838948951,0.9962825278810409,10.949761462467992,79.0,0.8771739130434782,0.0,4.0,2.0
DPD,31311,0,2,1.0,1.0,0.0,1.0,1.0,42,True,1033.79,229.775,10.464722222222223,3,3,55.7192,OK,561.0,241.0,139.34872865781722,17.19,2.327800829875519,2.4391304347826086,3,4.0258709598821225,84.87815463583084,38.182962460248014,0.1447981105930272,6.024475404348565,2.839364274989353,16.50732829954236,22.815946196009207,3.9255307388408687,2.968579342118036,1.3362869430716333,0.8805704099821747,1.854794990896992,14.0,0.8130434782608695,2.0,0.0,2.0
UPS,30163,4,2,1.0,1.0,0.0,1.0,1.0,42,True,1692.95,162.264,8.489166666666666,7,7,27.593,OK,1427.0,164.0,14.485893399375826,6.02,8.701219512195122,6.2043478260869565,7,98.50963006958806,12.05513223024664,13.575097429543103,0.12040887166118613,1.8382125198014914,13.604164339941436,6.629660051943347,8.181042009445411,0.9256041642941584,1.1454980804839057,1.0838019847987166,0.1913104414856342,11.591723223631496,67.0,0.886335403726708,6.0,4.0,2.0
DPD,30539,2,3,1.0,1.0,0.0,1.0,1.0,42,True,1059.76,161.815,6.668055555555555,4,4,19.5407,OK,917.0,144.0,19.21423828970633,9.52,6.368055555555555,3.9869565217391303,4,47.72502485780379,8.819243292587995,11.763391436868847,0.10882505493204032,1.4727408479668629,16.327931458816053,9.575011957970366,11.760820222658657,0.7124065573630473,0.9702592924483935,1.4583230168182189,0.7241003271537623,13.223372892858322,153.0,0.9967391304347826,2.0,2.0,3.0
GLS,30890,3,2,1.0,1.0,0.0,1.0,1.0,42,True,1451.28,362.251,15.3725,4,4,94.9925,OK,860.0,350.0,102.53407734275534,23.44,2.4571428571428573,3.739130434782609,4,8.387455393246041,68.03259026694889,32.34298850326629,0.11031423650085856,4.345362411006837,5.144593181395219,23.19765705125323,28.149170061470542,2.1544339353764843,2.594238642447941,1.3066907838647626,0.9744186046511628,2.21994668073495,15.0,0.9347826086956522,4.0,3.0,2.0
DHL,30161,1,3,1.0,1.0,0.0,1.0,1.0,42,True,5812.51,123.296,7.751666666666667,29,29,19.6306,OK,6516.0,84.0,1.79798433827919,1.04,77.57142857142857,28.330434782608695,29,3624.0582641761584,1.6617429921897717,4.834948176002157,0.08439876019512337,0.7193639319600661,50.549333076656154,0.9762253159196014,1.8270923709513334,0.3901573815570166,0.4005000411860144,1.1576414487866564,0.8285758133824432,79.1800668931094,470.0,0.9769115442278861,1.0,1.0,3.0
