provider,plz,base_day,agg_k,scale,p_keep,noise_sigma,b2c_scale,b2b_scale,seed,is_baseline,actual_cost_eur,actual_distance_km,actual_duration_h,actual_n_routes,n_vehicles_planned,solve_time_s,vroom_status,n_parcels,n_stops,area_km2,hub_dist_km,parcels_per_stop,load_factor,min_vehicles,parcels_per_km2,ch_area_km2,ch_perimeter_km,mean_nn_dist_km,mean_inter_stop_dist_km,stop_density_ch,centroid_hub_dist_km,max_hub_dist_km,coord_std_x,coord_std_y,aspect_ratio,b2c_share,demand_std,max_stop_demand,demand_cap_ratio,provider_idx,day_idx,delivery_frequency
DPD,30982,2,2,1.3,1.0,0.2,1.0,1.0,123,False,942.04,222.719,7.992222222222222,3,3,31.4593,OK,639.0,178.0,66.6831619829418,20.59,3.5898876404494384,2.7782608695652176,3,9.582628972565255,35.44719624224578,24.30547940893024,0.11424242334939802,4.118555631188014,5.021553715660607,19.86282498853781,24.595008555635623,1.226955459693752,3.3215501977152724,2.088119926124217,0.8075117370892019,2.8864871128317677,19.0,0.9260869565217391,2.0,2.0,2.0
DHL,31535,3,2,0.7,0.9,0.0,1.0,1.0,123,False,4631.37,558.897,28.01972222222222,18,18,501.0114,OK,4029.0,736.0,357.6158854957556,5.5,5.474184782608695,17.517391304347825,18,11.26627804694604,323.1959416878084,72.43278941843711,0.14490396221255053,9.621530217974605,2.2772563175033316,3.396338158125487,19.23724207243606,5.254748689019629,5.569711034057163,1.0398196332327527,0.912385207247456,6.0549464946283305,47.0,0.9731884057971014,1.0,3.0,2.0
GLS,30449,5,1,1.3,0.9,0.2,1.0,1.0,123,False,549.69,88.973,3.7969444444444442,2,2,25.5036,OK,308.0,100.0,5.186686836161483,10.84,3.08,1.3391304347826087,2,59.38280249592665,5.2847899946275385,9.01763593598469,0.10289679917070518,1.2204109112117423,18.9222277709538,11.176349223815075,12.18497933339721,0.8069762640566824,0.5712805885152276,1.2610795965054882,0.8246753246753247,2.8095551249263653,15.0,0.6695652173913044,4.0,5.0,1.0
UPS,31535,2,1,0.7,0.9,0.2,1.0,1.0,123,False,1207.66,349.37,13.998611111111112,3,2,89.5678,OK,366.0,175.0,357.6158854957556,20.99,2.0914285714285716,1.5913043478260869,2,1.0234444688960662,291.0098035303129,70.65638581060729,0.3720341522556141,7.172706952063216,0.6013543113566316,19.557234674129464,31.320882000292222,3.964559568491522,4.7655816405847204,1.0688688765857477,0.27595628415300544,2.128093906168002,11.0,0.7956521739130434,6.0,2.0,1.0
GLS,31303,5,3,1.3,1.0,0.2,1.0,1.0,456,False,1867.22,467.181,15.28138888888889,6,6,89.545,OK,1355.0,321.0,112.90680951768702,24.81,4.221183800623053,5.891304347826087,6,12.00104764086649,47.800689421614074,28.33221527181546,0.10291839128558482,3.6196790064798763,6.715384315249085,23.67358625724625,30.58089163922521,1.17309899583973,2.979674171423834,1.4386722465994712,0.9276752767527675,4.1148980713447685,38.0,0.9818840579710145,4.0,5.0,3.0
Hermes,30823,4,2,1.3,1.0,0.2,1.0,1.0,42,False,1056.51,136.32,6.853888888888889,4,4,54.1465,OK,835.0,170.0,12.528872220645557,8.05,4.911764705882353,3.630434782608696,4,66.64606241446496,6.870081423644215,10.330297194828665,0.10746261960525264,1.3684824166700864,24.74497600784242,7.171258936516717,9.065653287349427,0.7852555586450694,0.743491503051653,1.0950398237215029,0.9652694610778443,6.36889337076435,47.0,0.907608695652174,5.0,4.0,2.0
UPS,30167,0,2,0.7,0.9,0.0,1.0,1.0,42,False,1251.1,144.551,6.916111111111111,5,5,51.0908,OK,1042.0,118.0,5.368928981069905,8.81,8.830508474576272,4.530434782608696,5,194.07967653771297,4.710198879269921,8.220890863248172,0.09795300694430653,1.1812817319755928,25.052020737241133,9.040627269214967,10.351107038961311,0.6002212787674084,0.7317892266750962,1.0057298436775801,0.18426103646833014,13.01648569090189,97.0,0.9060869565217391,6.0,0.0,2.0
Amazon,31303,3,3,0.7,0.9,0.2,1.0,1.0,123,False,2504.76,689.495,20.074166666666667,8,8,100.6658,OK,1677.0,381.0,112.90680951768702,30.88,4.4015748031496065,7.291304347826087,8,14.852957117146202,53.03346583378649,30.055539300354564,0.10158475656561955,3.57630908052781,7.184142955961084,30.072389902878772,33.766156803669034,1.2135279900400264,2.981695855529291,1.5375300534810479,0.9994036970781157,4.67628154290901,45.0,0.9114130434782609,0.0,3.0,3.0
Amazon,30851,3,1,0.7,0.9,0.0,1.0,1.0,42,False,535.12,80.829,3.4805555555555556,2,2,10.0088,OK,390.0,83.0,4.12190647126244,11.33,4.698795180722891,1.6956521739130435,2,94.61641177912328,3.4319724636547164,7.385270331576574,0.12107746379929406,1.027136253053236,24.184343225065707,11.133708634519431,12.65036669340943,0.664716452164518,0.4640846939676961,1.6596201865462248,0.9923076923076923,4.356783769418762,24.0,0.8478260869565217,0.0,3.0,1.0
FedEx,30163,3,2,0.7,0.9,0.0,1.0,1.0,42,False,1784.63,205.398,10.56861111111111,7,7,33.2086,OK,1412.0,195.0,19.436906373559538,7.51,7.241025641025641,6.139130434782609,7,72.64530542374662,17.164058001519564,15.626301371687745,0.13396629855621808,2.0239511009164217,11.360949723121205,7.980939373270248,9.692305275804314,1.1897533085952485,1.1027667716141059,1.2415663878917849,0.13031161473087818,13.591036222993715,139.0,0.8770186335403727,3.0,3.0,2.0
GLS,30167,4,2,1.3,0.9,0.2,1.0,1.0,123,False,1046.2,168.848,6.215277777777778,4,4,87.1733,OK,734.0,105.0,5.368928981069905,13.23,6.9904761904761905,3.1913043478260867,4,136.71255525785156,3.823222794615136,7.68581033443391,0.0936385506137221,1.2133534892385773,27.463740838720806,12.807361070357059,14.307375178225051,0.5685052046461576,0.7943150183224796,1.1588156180450118,0.8651226158038147,6.494679490013694,34.0,0.7978260869565217,4.0,4.0,2.0
Hermes,30167,0,1,0.7,1.0,0.0,1.0,1.0,123,False,543.97,73.225,3.808611111111111,2,2,26.0229,OK,345.0,111.0,5.368928981069905,7.27,3.108108108108108,1.5,2,64.25862610893567,3.7492311796791458,7.574390371142324,0.09244253874824497,1.2378948190153862,29.60606979948866,7.587469793933334,8.719051119417665,0.6036641511925096,0.7938003561916315,1.273653156339283,0.9536231884057971,3.2862019791504133,22.0,0.75,5.0,0.0,1.0
