provider,hub,day,mode,n_plz,n_parcels,area_km2,parcels_per_km2,cost,in_distribution,window,fast_share,share_willing
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,35,101.18549289373648,0.345899387343564,267.5790946895632,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,33,37.755537878390655,0.8740439642600752,322.3332859692406,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,29,56.38950461206911,0.5142800987436428,319.37584410353975,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,24,6.967819653017212,3.444406025865996,289.91767332941515,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,23,53.82702268136371,0.42729467197455057,328.6621004971341,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,3,bundled,1,23,43.13135688268341,0.5332547284000275,321.813723749875,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,4,bundled,1,39,102.53407734275534,0.38036134922859954,342.6824368342127,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,4,bundled,1,34,153.22446344831192,0.22189668173626473,293.7937518577435,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,4,bundled,1,34,159.38246951696127,0.21332333538966633,353.23920643639855,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,4,bundled,1,24,139.34872865781722,0.17222977368479667,309.1903963812846,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,4,bundled,1,23,10.610683695060029,2.1676265791155394,297.03397171242375,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,42,125.18180774883541,0.33551201053326163,363.01775202428644,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,38,357.6158854957556,0.10625926179795223,429.36054469208943,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,31,59.876286869182046,0.517734175262553,289.10063980094185,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,30,173.55971997363926,0.17285116618393073,328.6560998069612,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,27,112.90680951768702,0.23913526664457213,270.0588096004049,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,22,101.18549289373648,0.21742247204452597,266.51318534171867,False,2,0.1,0.9
DPD,DPD Paketzentrum in Lehrte,5,bundled,1,20,56.38950461206911,0.35467593016802945,322.6047029566784,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,18,357.6158854957556,0.050333334535872104,358.7379037157086,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,14,173.55971997363926,0.080663877552501,277.87699239238907,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,12,102.53407734275534,0.11703426130110756,309.0843117943311,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,11,112.90680951768702,0.0974254790033442,317.4790776209651,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,10,159.38246951696127,0.06274215746754892,340.35226208388906,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,bundled,1,5,6.967819653017212,0.7175845887220825,277.7831601008144,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,1,bundled,1,12,53.8021301528445,0.22303949612979337,288.72407449911884,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,bundled,1,26,125.18180774883541,0.2076979112824953,316.9993108023539,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,bundled,1,22,357.6158854957556,0.061518519988288126,366.3432524046186,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,bundled,1,19,173.55971997363926,0.1094724052498228,281.3681162005385,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,bundled,1,12,159.38246951696127,0.07529058896105871,336.30437949955,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,bundled,1,15,102.53407734275534,0.14629282662638443,311.683910306107,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,bundled,1,14,112.90680951768702,0.12399606418607444,312.82097454915083,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,bundled,1,13,53.8021301528445,0.24162612080727616,288.80867214263503,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,bundled,1,6,66.6831619829418,0.08997773683159864,321.9645190362912,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,21,125.18180774883541,0.16775600526663081,313.4743679752172,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,18,129.47251256919432,0.13902564832346337,331.26152957002114,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,18,357.6158854957556,0.050333334535872104,362.09763918391195,False,2,0.1,0.9
FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,bundled,1,14,173.55971997363926,0.080663877552501,276.1356258670014,False,2,0.1,0.9
