scenario,model,n,MAPE_pct,MAE_eur,bias_eur,bias_pct,R2
Fixed Batch-Only,LGB-logT v3,265,7.715747550211835,381.1297220528495,-368.8053658510448,-7.416668814986953,0.9755739533735247
Fixed Batch-Only,Daganzo-LGB-Hybrid v2-aug,265,6.327462673226762,245.55161330774936,-217.46970320874937,-5.74871865493458,0.9947686287140118
SA_ML Batch-Only,LGB-logT v3,312,8.835144169501765,456.4511001286864,-446.51735514895194,-8.533512697464099,0.9321578961840284
SA_ML Batch-Only,Daganzo-LGB-Hybrid v2-aug,312,6.859783318160274,255.02505757809251,-222.35912617723713,-6.224701508476043,0.9933167410578779
ALL,LGB-logT v3,577,8.321036536725629,421.85809286682024,-410.82640685788544,-8.020577465477196,0.9543544703363429
ALL,Daganzo-LGB-Hybrid v2-aug,577,6.6153032992566665,250.67416896173043,-220.1135506371171,-6.006095865168439,0.994068319576955
