penalty,share_willing,init_cost_eur,bal_cost_eur,max_fleet_before,max_fleet_after,total_swaps,total_routes_before,total_routes_after,imbalance_before,imbalance_after,wait_init,wait_bal,saving_init_pct,saving_bal_pct,fleet_red_pct,delta_pct
0.0,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,1738132.897040252,1760426.9120785915,884.0,856.0,62,6315.0,6363.0,444.0,348.0,0.4764744457551216,0.4815255225775124,8.986257594276907,7.818877501912341,3.167420814479638,1.28264156764436
0.0,0.2,1718499.1828200237,1747804.98227326,880.0,834.0,91,6280.0,6341.0,430.0,290.0,0.522518663953829,0.5241038795162282,10.014336524001038,8.479798810013541,5.2272727272727275,1.7053135518601712
0.0,0.3,1704672.389667267,1736997.3797419593,899.0,826.0,96,6300.0,6364.0,483.0,245.0,0.5801907431011323,0.5894625520202459,10.738348014978001,9.045716614389839,8.120133481646274,1.8962582060123454
0.0,0.4,1684811.7084415383,1719920.5821926575,923.0,815.0,105,6279.0,6363.0,564.0,251.0,0.6310848184008507,0.6367501101760442,11.778311603584307,9.939907879001087,11.700975081256772,2.0838455463723706
0.0,0.5,1665016.397065342,1692833.0987651565,910.0,800.0,109,6294.0,6361.0,632.0,242.0,0.6796979197179492,0.6897329121573657,12.81485223491469,11.358288051937185,12.087912087912088,1.6706563219943404
0.0,0.6,1639883.9392543568,1665699.6214036234,894.0,816.0,104,6354.0,6420.0,747.0,302.0,0.7677738369500104,0.7655184607548972,14.130861525761645,12.779076602317462,8.724832214765101,1.5742383671984002
0.0,0.7,1614213.826860291,1634286.3510501632,943.0,824.0,71,6401.0,6450.0,778.0,372.0,0.8305152016551476,0.8309929830394864,15.47502398936719,14.423967681094943,12.61930010604454,1.2434860769910543
0.0,0.8,1586102.9782462092,1600880.126755881,1049.0,838.0,81,6522.0,6553.0,1055.0,440.0,0.876749819891856,0.8807647141096586,16.94699056851943,16.173215680396346,20.11439466158246,0.9316638775882707
0.0,0.9,1547167.8362809855,1559505.0817088124,1243.0,882.0,70,6665.0,6694.0,1181.0,531.0,0.9261584318320363,0.9312096406017857,18.985748932386397,18.33973453424891,29.042638777152053,0.7974083443644109
0.0,1.0,1468411.4385135714,1474147.7544344435,1005.0,748.0,52,5737.0,5755.0,1240.0,664.0,0.9692323830484589,0.9750450600228532,23.109665182640818,22.809294836697116,25.572139303482587,0.39064772790648156
0.25,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.1,1739867.6765511015,1762685.3189618369,882.0,856.0,64,6312.0,6360.0,435.0,350.0,0.4126553350275374,0.4206744357271223,8.895419445019142,7.700620685837452,2.947845804988662,1.3114584929795488
0.25,0.2,1728167.387137975,1756763.0268743834,862.0,827.0,93,6291.0,6352.0,404.0,281.0,0.41460934345633466,0.42565637213377344,9.508080955846088,8.01072928997053,4.060324825986079,1.6546799777170729
0.25,0.3,1712849.395992834,1749519.0925018599,873.0,818.0,122,6273.0,6356.0,449.0,231.0,0.37865645921903,0.40109991317863825,10.310175952512353,8.390042965068387,6.300114547537228,2.1408593537069738
0.25,0.4,1700747.7280018313,1732429.570083151,888.0,806.0,100,6251.0,6336.0,445.0,225.0,0.3715298504508641,0.3859676623414322,10.943854824299558,9.284900541207556,9.234234234234235,1.8628184274302708
0.25,0.5,1694170.7421774615,1724981.537342193,888.0,799.0,122,6291.0,6370.0,463.0,193.0,0.3249475509250829,0.3406371474036718,11.288245114964095,9.674901406198519,10.022522522522523,1.8186357725155535
0.25,0.6,1674770.880492045,1702824.5092823852,890.0,800.0,114,6333.0,6405.0,450.0,197.0,0.34245868068475394,0.35563402025128055,12.304078839272382,10.835108458113622,10.112359550561798,1.6750726393151785
0.25,0.7,1661899.9580568594,1682984.3682854015,910.0,808.0,89,6362.0,6427.0,493.0,239.0,0.3384605437814529,0.3531342775486292,12.978038132623755,11.873996500027767,11.208791208791208,1.268693107928984
0.25,0.8,1646234.4768920913,1663196.1489981958,923.0,822.0,91,6445.0,6497.0,484.0,238.0,0.3431368901063232,0.35485368357440117,13.798328727100026,12.910165768753133,10.942578548212351,1.0303314834060697
0.25,0.9,1620381.0821731566,1634725.6012915678,923.0,839.0,81,6569.0,6613.0,437.0,262.0,0.355136314815841,0.3711300499552698,15.1520883914326,14.400967248624601,9.100758396533044,0.8852558991353587
0.25,1.0,1542457.7311208462,1555417.1958170477,843.0,712.0,92,5813.0,5868.0,691.0,341.0,0.4396321043756383,0.45208925447103626,19.232383869495496,18.55378824335861,15.539739027283511,0.8401828092095813
0.5,0.0,1909747.7491827162,1909747.7491827162,894.0,894.0,0,6397.0,6397.0,446.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.1,1745646.3568324167,1766897.548472348,888.0,858.0,69,6308.0,6364.0,435.0,349.0,0.3540778331077033,0.36099965957581565,8.592830776762392,7.480055979723062,3.3783783783783785,1.2173824071957378
0.5,0.2,1740559.6387798,1771213.9989954408,875.0,839.0,110,6286.0,6366.0,439.0,296.0,0.3083184892555266,0.3196645106468323,8.859186270821423,7.254033955351512,4.114285714285714,1.7611783895627249
0.5,0.3,1733919.2649288368,1766433.1930623667,873.0,828.0,116,6284.0,6359.0,444.0,262.0,0.2585274938710452,0.27843795439371505,9.206895744693291,7.504370992539804,5.154639175257732,1.8751696685753285
0.5,0.4,1726178.3528063928,1751458.0766701605,874.0,818.0,98,6283.0,6336.0,433.0,272.0,0.23588941755797108,0.24920158653503593,9.612232634120533,8.288512060312488,6.407322654462242,1.464490840281268
0.5,0.5,1717084.947677535,1747660.9854490438,893.0,813.0,122,6306.0,6383.0,446.0,225.0,0.23167264388199682,0.250991716344847,10.08839002887329,8.487338906567011,8.958566629339305,1.7806945319079759
0.5,0.6,1706077.2723375116,1733405.2828368538,892.0,809.0,119,6329.0,6407.0,448.0,209.0,0.22915390075975287,0.24941784825526006,10.66478423301539,9.233809356305246,9.304932735426009,1.6018037953169473
0.5,0.7,1702038.619928452,1722403.5813343967,893.0,808.0,96,6349.0,6413.0,407.0,203.0,0.2172234845186164,0.23758573279604367,10.87625993239967,9.809890752770578,9.518477043673013,1.1965040726749698
0.5,0.8,1697748.6600715846,1716692.5932975695,895.0,822.0,99,6431.0,6488.0,412.0,205.0,0.20398705332520534,0.22206991098831208,11.100894827699491,10.108934856331963,8.156424581005586,1.1158267222656006
0.5,0.9,1677492.7710923408,1695265.4041382319,960.0,828.0,108,6516.0,6575.0,487.0,191.0,0.21247601856763224,0.233429127115446,12.161552654782279,11.23092540029294,13.75,1.0594759841688008
