penalty,share_willing,peak_a,total_a,cv_a,peak_red_pct,cv_red_pct,total_red_pct
0.0,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
0.0,0.1,1195.0,6363.0,0.10878154965970495,3.5512510088781277,19.271377715734374,0.5314991402219791
0.0,0.2,1161.0,6341.0,0.08713033257768008,6.295399515738499,35.33911099658205,0.8754103486009067
0.0,0.3,1149.0,6364.0,0.0721324945634812,7.263922518159807,46.469259481471234,0.5158668125683914
0.0,0.4,1143.0,6363.0,0.0607594230408259,7.74818401937046,54.90940763192981,0.5314991402219791
0.0,0.5,1142.0,6361.0,0.045749684857700985,7.828894269572236,66.04838743284046,0.5627637955291543
0.0,0.6,1123.0,6420.0,0.05517185847904838,9.362389023405973,59.056033511113945,-0.35954353603251527
0.0,0.7,1184.0,6450.0,0.06714664067460845,4.4390637610976595,50.169345724206934,-0.8285133656401438
0.0,0.8,1139.0,6553.0,0.038478976269529605,8.071025020177563,71.44410287529911,-2.4386431139596687
0.0,0.9,1192.0,6694.0,0.05305423376056091,3.7933817594834545,60.62755852223375,-4.642801313115523
0.0,1.0,1103.0,5755.0,0.11294058668383586,10.976594027441486,16.18488621016511,10.035954353603252
0.25,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
0.25,0.1,1196.0,6360.0,0.10932547213907304,3.4705407586763517,18.867723672137927,0.5783961231827419
0.25,0.2,1161.0,6352.0,0.08781869412977489,6.295399515738499,34.828266281573754,0.7034547444114428
0.25,0.3,1155.0,6356.0,0.0731631105294466,6.779661016949152,45.70442199481265,0.6409254337970924
0.25,0.4,1145.0,6336.0,0.06974224484667411,7.586763518966909,48.243104100865075,0.9535719868688448
0.25,0.5,1135.0,6370.0,0.06040917501608694,8.393866020984666,55.169332596994316,0.42207284664686573
0.25,0.6,1133.0,6405.0,0.05522100588703729,8.555286521388217,59.01956039091847,-0.12505862122870096
0.25,0.7,1157.0,6427.0,0.058174734863459206,6.618240516545601,56.82754831153934,-0.46896982960762856
0.25,0.8,1155.0,6497.0,0.05525455714419096,6.779661016949152,58.99466143724118,-1.5632327653587619
0.25,0.9,1195.0,6613.0,0.057862504741446365,3.5512510088781277,57.05925954993035,-3.376582773174926
0.25,1.0,1064.0,5868.0,0.05575801283922325,14.124293785310735,58.62103847665397,8.26950132874785
0.5,0.0,1239.0,6397.0,0.13474966694793572,0.0,0.0,0.0
0.5,0.1,1196.0,6364.0,0.10900108810266104,3.4705407586763517,19.108454535344684,0.5158668125683914
