penalty,freq_init,freq_bal,fleet_before,fleet_after
0.0,2.0256410256410255,2.0256410256410255,1005.0,748.0
0.25,3.0641025641025643,3.0641025641025643,843.0,712.0
0.5,3.951923076923077,3.951923076923077,862.0,738.0
0.75,4.516025641025641,4.516025641025641,837.0,777.0
1.0,4.92948717948718,4.92948717948718,860.0,800.0
2.0,5.830128205128205,5.830128205128205,893.0,872.0
5.0,6.0,6.0,894.0,894.0
10.0,6.0,6.0,894.0,894.0
