penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.0,DHL,Dummy Wennigsen,4,10.0,10.0
0.0,0.0,DHL,Dummy Wennigsen,5,8.0,8.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,0,40.0,40.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,1,44.0,44.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,2,47.0,47.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,3,44.0,44.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,4,39.0,39.0
0.0,0.0,DHL,Paketzentrum / Zustellbasis Anderten,5,31.0,31.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,0,102.0,102.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,1,107.0,107.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,2,122.0,122.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,3,115.0,115.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,4,97.0,97.0
0.0,0.0,DHL,Zustellbasis Hannover am Güterbahnhof,5,75.0,75.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,0,55.0,55.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,1,58.0,58.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,2,67.0,67.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,3,64.0,64.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,4,52.0,52.0
0.0,0.0,DHL,Zustellbasis Hannover-Süd,5,41.0,41.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,0,189.0,189.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,1,200.0,200.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,2,217.0,217.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,3,209.0,209.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,4,176.0,176.0
0.0,0.0,Amazon,Amazon Logistics HAJ8 in Garbsen,5,138.0,138.0
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,0,93.0,93.0
0.0,0.0,DPD,DPD Paketzentrum in Lehrte,1,104.0,104.0
