penalty,share_willing,provider,plz,schedule_idx_system_smoothed,schedule_size_system_smoothed,weekdays_system_smoothed,avg_wait_d_system_smoothed,dd_cost_system_smoothed
0.0,0.0,Amazon,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4390.652005410074
0.0,0.0,Amazon,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8519.368501277868
0.0,0.0,Amazon,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7005.60345798299
0.0,0.0,Amazon,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4970.930164967193
0.0,0.0,Amazon,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4820.378887430032
0.0,0.0,Amazon,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4934.7989617734975
0.0,0.0,Amazon,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4858.408897775894
0.0,0.0,Amazon,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8140.269152347262
0.0,0.0,Amazon,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5821.859629336905
0.0,0.0,Amazon,30559,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8252.52270516162
0.0,0.0,Amazon,30625,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4932.584335545381
0.0,0.0,Amazon,30627,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3472.360903435115
0.0,0.0,Amazon,30629,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4629.145185289602
0.0,0.0,Amazon,30655,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5061.237427944449
0.0,0.0,Amazon,30657,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5227.080664344542
0.0,0.0,Amazon,30659,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4975.003626465991
0.0,0.0,Amazon,30823,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5705.037154540299
0.0,0.0,Amazon,30826,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5673.254342811335
0.0,0.0,Amazon,30827,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4536.061456785562
0.0,0.0,Amazon,30851,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4490.007090916008
0.0,0.0,Amazon,30853,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4319.068900643669
0.0,0.0,Amazon,30855,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,16244.345238115564
0.0,0.0,Amazon,30880,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,11278.054808972109
0.0,0.0,Amazon,30890,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10080.548522471709
0.0,0.0,Amazon,30900,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,12085.38072969665
0.0,0.0,Amazon,30916,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9904.82527723206
0.0,0.0,Amazon,30926,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8752.96361616949
0.0,0.0,Amazon,30938,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9384.90809448861
0.0,0.0,Amazon,30952,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7076.623355325187
0.0,0.0,Amazon,30966,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6955.194722247112
0.0,0.0,Amazon,30974,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5436.138154721389
0.0,0.0,Amazon,30982,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6084.06789519755
0.0,0.0,Amazon,30989,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5499.955907320829
0.0,0.0,Amazon,31275,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,14129.512676709495
0.0,0.0,Amazon,31303,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,10291.231205914351
0.0,0.0,Amazon,31311,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,8790.113460938559
0.0,0.0,Amazon,31319,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9320.815628099372
0.0,0.0,Amazon,31515,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,12450.58174407703
0.0,0.0,Amazon,31535,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,15851.91067139521
0.0,0.0,Amazon,31832,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,11355.500473785536
0.0,0.0,DPD,30159,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6656.069904499083
0.0,0.0,DPD,30161,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3438.63845418782
0.0,0.0,DPD,30163,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3176.704105051865
0.0,0.0,DPD,30165,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3109.5847921201566
0.0,0.0,DPD,30167,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4548.61275587726
0.0,0.0,DPD,30173,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3042.0725720869623
0.0,0.0,DPD,30177,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2301.8161532682093
0.0,0.0,DPD,30179,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2402.9493976963904
0.0,0.0,DPD,30419,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5350.888005691542
0.0,0.0,DPD,30449,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4115.648431001423
0.0,0.0,DPD,30453,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3546.158276962033
0.0,0.0,DPD,30455,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3189.32194545774
0.0,0.0,DPD,30457,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3071.8681502213976
0.0,0.0,DPD,30459,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2692.648089162524
0.0,0.0,DPD,30519,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4359.743796141659
0.0,0.0,DPD,30539,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3283.465182476126
0.0,0.0,DPD,30559,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3964.267070732265
0.0,0.0,DPD,30625,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2879.61806243138
0.0,0.0,DPD,30627,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,1734.323815852828
0.0,0.0,DPD,30629,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2209.7242260325893
0.0,0.0,DPD,30655,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2902.8311877698657
0.0,0.0,DPD,30657,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3254.827165454566
0.0,0.0,DPD,30659,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2732.1680399331904
0.0,0.0,DPD,30823,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4031.85332034608
0.0,0.0,DPD,30826,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4659.6772590054525
0.0,0.0,DPD,30827,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3693.9834286058094
0.0,0.0,DPD,30851,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,2392.87153119302
0.0,0.0,DPD,30853,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3054.623065805542
0.0,0.0,DPD,30855,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,9651.557570967712
0.0,0.0,DPD,30880,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5651.747006229777
0.0,0.0,DPD,30890,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6923.102121964851
0.0,0.0,DPD,30900,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,7912.531093330155
0.0,0.0,DPD,30916,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5505.336403799816
0.0,0.0,DPD,30926,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6146.851473398595
0.0,0.0,DPD,30938,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,5614.10632319326
0.0,0.0,DPD,30952,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4651.5791758270425
0.0,0.0,DPD,30966,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4054.573407822628
0.0,0.0,DPD,30974,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4049.574617554036
0.0,0.0,DPD,30982,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,3635.1428609264494
0.0,0.0,DPD,30989,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,4189.963023652114
0.0,0.0,DPD,31275,38,6,"Mon,Tue,Wed,Thu,Fri,Sat",0.0,6310.744546848563
