penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
1.0,0.4,FedEx,0,154154.41515096577,154154.41515096577,7.0,7.0
1.0,0.4,GLS,0,160236.5824240702,160236.5824240702,9.0,9.0
1.0,0.4,Hermes,0,209028.9788651991,209028.9788651991,15.0,15.0
1.0,0.4,UPS,0,179126.29621999,179126.29621999,13.0,13.0
1.0,0.5,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
1.0,0.5,Amazon,0,342769.1229787367,342769.1229787367,39.0,39.0
1.0,0.5,DPD,0,181779.4112023397,181779.4112023397,10.0,10.0
1.0,0.5,FedEx,0,151837.95292448255,151837.95292448255,9.0,9.0
1.0,0.5,GLS,0,161734.49041134788,161734.49041134788,3.0,3.0
1.0,0.5,Hermes,0,208344.24550648144,208344.24550648144,9.0,9.0
1.0,0.5,UPS,0,181685.8146967685,181685.8146967685,15.0,15.0
1.0,0.6,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
1.0,0.6,Amazon,0,344306.6372742279,344306.6372742279,44.0,44.0
