provider,urban,suburban,rural
Amazon,29.058,-5.256,-4.757
DHL,20.057,-3.147,-3.099
DPD,25.975,-8.837,-5.807
FedEx,32.639,14.818,-5.507
GLS,19.334,-7.309,-7.959
Hermes,24.133,-9.278,-4.338
UPS,35.746,4.472,-4.797
