raumtyp_3,n_samples,mape_pct,median_ape_pct,p90_ape_pct
urban,538,6.168560373075859,3.940429474791557,13.374454345957801
suburban,1424,4.708839618743514,3.111821543060133,10.735361850855512
rural,113,5.109592395222674,4.07485158158742,11.53188580102895
