provider,dd_cost,weekly_parcels,n_plz,cost_per_1000_parcels
Amazon,350810.6383067652,227677,47,1540.8259872835868
DHL,563775.2206035123,516034,48,1092.5156493632442
DPD,210178.82520104878,102540,47,2049.7252311395437
FedEx,167748.72604045802,93165,37,1800.5552089353087
GLS,186914.04044994738,85839,46,2177.4955492252634
Hermes,232267.7956858107,122226,47,1900.3141368105862
UPS,198052.50289517397,115649,40,1712.531045622305
